txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
92756.83333333333 	 9895 	 788 	 9107 	 18.5 	 47.4 	 1.485070336 
89367.5 	 8832 	 179 	 8653 	 19.1 	 47.6 	 1.491898368 
92750.83333333333 	 11905 	 725 	 11180 	 28.6 	 44.2 	 1.386942464 
89371.5 	 9837 	 944 	 8893 	 27.3 	 47.5 	 1.490210816 
89371.5 	 10913 	 796 	 10117 	 22.2 	 45.7 	 1.432866816 
92772.83333333333 	 10883 	 688 	 10195 	 100.0 	 45.5 	 1.427787776 
89371.5 	 10876 	 625 	 10251 	 100.0 	 45.5 	 1.427787776 
92744.83333333333 	 8917 	 687 	 8230 	 15.8 	 47.5 	 1.490051072 
89371.5 	 11891 	 933 	 10958 	 14.0 	 44.3 	 1.388814336 
89371.5 	 8935 	 1088 	 7847 	 22.7 	 47.6 	 1.491693568 
92744.83333333333 	 11885 	 649 	 11236 	 12.1 	 44.2 	 1.386942464 
92756.83333333333 	 9889 	 522 	 9367 	 23.3 	 47.1 	 1.475928064 
92744.83333333333 	 9913 	 652 	 9261 	 33.3 	 47.1 	 1.475928064 
92744.83333333333 	 9886 	 628 	 9258 	 13.3 	 47.2 	 1.480245248 
89371.5 	 8926 	 849 	 8077 	 100.0 	 47.5 	 1.490210816 
89371.5 	 8865 	 373 	 8492 	 21.3 	 47.8 	 1.500499968 
89367.5 	 10900 	 777 	 10123 	 33.3 	 45.8 	 1.437184 
92744.83333333333 	 11904 	 796 	 11108 	 17.6 	 44.2 	 1.387290624 
89371.5 	 10893 	 444 	 10449 	 14.0 	 44.8 	 1.40507136 
92750.83333333333 	 8919 	 841 	 8078 	 16.7 	 47.5 	 1.490210816 
92744.83333333333 	 10947 	 551 	 10396 	 33.3 	 44.9 	 1.409388544 
92750.83333333333 	 9952 	 566 	 9386 	 21.7 	 46.8 	 1.46655232 
92744.83333333333 	 9898 	 324 	 9574 	 100.0 	 46.5 	 1.456934912 
92744.83333333333 	 4334 	 396 	 3938 	 17.6 	 48.1 	 1.509412864 
89367.5 	 11974 	 440 	 11534 	 0.8 	 44.2 	 1.386688512 
89371.5 	 11961 	 749 	 11212 	 27.3 	 44.2 	 1.386942464 
89371.5 	 10895 	 231 	 10664 	 16.7 	 46.0 	 1.44349184 
92750.83333333333 	 8916 	 768 	 8148 	 21.7 	 47.5 	 1.490210816 
92744.83333333333 	 8969 	 715 	 8254 	 33.3 	 47.5 	 1.490051072 
89371.5 	 9951 	 506 	 9445 	 16.7 	 46.6 	 1.461981184 
89371.5 	 9996 	 377 	 9619 	 21.3 	 46.5 	 1.456934912 
89367.5 	 9907 	 201 	 9706 	 20.2 	 47.5 	 1.489457152 
89371.5 	 8941 	 612 	 8329 	 16.0 	 47.5 	 1.490051072 
89371.5 	 10923 	 422 	 10501 	 100.0 	 46.5 	 1.456934912 
89367.5 	 8966 	 556 	 8410 	 18.2 	 47.5 	 1.489711104 
92744.83333333333 	 11917 	 229 	 11688 	 100.0 	 44.7 	 1.40027904 
89371.5 	 11940 	 452 	 11488 	 20.0 	 44.2 	 1.386688512 
92744.83333333333 	 12009 	 541 	 11468 	 20.0 	 44.2 	 1.386688512 
89371.5 	 11042 	 261 	 10781 	 16.8 	 44.7 	 1.40027904 
89367.5 	 11015 	 693 	 10322 	 23.0 	 45.5 	 1.427787776 
89367.5 	 12000 	 740 	 11260 	 100.0 	 45.5 	 1.427787776 
89371.5 	 2257 	 404 	 1853 	 29.0 	 49.6 	 1.555488768 
89367.5 	 3222 	 922 	 2300 	 41.2 	 49.4 	 1.54775552 
89371.5 	 4204 	 180 	 4024 	 25.3 	 49.1 	 1.538981888 
89371.5 	 1281 	 207 	 1074 	 40.0 	 50.4 	 1.5799296 
92744.83333333333 	 2290 	 789 	 1501 	 100.0 	 50.3 	 1.578184704 
89367.5 	 2252 	 424 	 1828 	 100.0 	 49.6 	 1.555488768 
92744.83333333333 	 5270 	 544 	 4726 	 75.0 	 48.5 	 1.521709056 
89367.5 	 4244 	 660 	 3584 	 100.0 	 49.3 	 1.545744384 
89367.5 	 3278 	 689 	 2589 	 25.0 	 49.3 	 1.547534336 
89367.5 	 4260 	 803 	 3457 	 20.0 	 49.3 	 1.545744384 
92744.83333333333 	 5277 	 523 	 4754 	 32.2 	 48.5 	 1.521709056 
89371.5 	 2237 	 544 	 1693 	 31.4 	 50.4 	 1.579241472 
89371.5 	 2313 	 577 	 1736 	 31.6 	 50.3 	 1.578184704 
92772.83333333333 	 5244 	 622 	 4622 	 100.0 	 49.1 	 1.538981888 
89371.5 	 3282 	 539 	 2743 	 100.0 	 49.3 	 1.547534336 
89371.5 	 4295 	 807 	 3488 	 100.0 	 49.3 	 1.545744384 
92744.83333333333 	 4287 	 404 	 3883 	 11.8 	 49.1 	 1.5384576 
89371.5 	 3251 	 626 	 2625 	 39.4 	 49.3 	 1.547534336 
89371.5 	 5283 	 595 	 4688 	 60.0 	 48.5 	 1.521709056 
92744.83333333333 	 3330 	 530 	 2800 	 25.0 	 49.3 	 1.545744384 
89371.5 	 3326 	 516 	 2810 	 26.6 	 49.3 	 1.547534336 
92750.83333333333 	 5339 	 629 	 4710 	 75.0 	 48.5 	 1.521709056 
89367.5 	 2280 	 622 	 1658 	 33.3 	 50.3 	 1.578184704 
92750.83333333333 	 4331 	 337 	 3994 	 36.4 	 49.1 	 1.5384576 
89367.5 	 4274 	 605 	 3669 	 50.0 	 49.3 	 1.545744384 
89371.5 	 2275 	 232 	 2043 	 100.0 	 50.3 	 1.578184704 
92744.83333333333 	 2329 	 218 	 2111 	 33.3 	 49.6 	 1.554886656 
92750.83333333333 	 4272 	 453 	 3819 	 100.0 	 49.3 	 1.545744384 
89367.5 	 5339 	 607 	 4732 	 75.0 	 48.5 	 1.521709056 
89371.5 	 5274 	 306 	 4968 	 36.4 	 49.1 	 1.5384576 
92750.83333333333 	 4341 	 188 	 4153 	 19.1 	 48.8 	 1.52991744 
89371.5 	 3334 	 497 	 2837 	 100.0 	 49.3 	 1.547534336 
89367.5 	 3319 	 840 	 2479 	 25.3 	 49.4 	 1.54775552 
89371.5 	 1357 	 186 	 1171 	 28.3 	 50.4 	 1.5799296 
89371.5 	 5305 	 795 	 4510 	 25.0 	 48.5 	 1.521963008 
89367.5 	 4376 	 820 	 3556 	 28.8 	 49.3 	 1.545744384 
89371.5 	 1349 	 228 	 1121 	 100.0 	 50.4 	 1.5799296 
89367.5 	 3308 	 390 	 2918 	 17.6 	 49.3 	 1.547104256 
89371.5 	 5373 	 640 	 4733 	 66.7 	 48.5 	 1.521709056 
89367.5 	 2345 	 588 	 1757 	 36.4 	 50.3 	 1.578184704 
92750.83333333333 	 2304 	 388 	 1916 	 28.3 	 50.3 	 1.578184704 
89371.5 	 3317 	 221 	 3096 	 22.9 	 49.6 	 1.554886656 
89367.5 	 5224 	 487 	 4737 	 37.3 	 50.7 	 1.58881792 
89367.5 	 5202 	 678 	 4524 	 33.3 	 50.7 	 1.58881792 
92744.83333333333 	 5231 	 739 	 4492 	 20.0 	 50.7 	 1.58881792 
89371.5 	 5317 	 522 	 4795 	 37.5 	 50.7 	 1.58881792 
92750.83333333333 	 5275 	 847 	 4428 	 33.3 	 50.7 	 1.58881792 
92744.83333333333 	 5258 	 550 	 4708 	 50.0 	 50.7 	 1.58881792 
89371.5 	 5292 	 1098 	 4194 	 19.6 	 50.7 	 1.58881792 
89371.5 	 5162 	 581 	 4581 	 33.3 	 50.7 	 1.590185984 
92744.83333333333 	 6189 	 300 	 5889 	 100.0 	 50.7 	 1.590222848 
89371.5 	 6216 	 597 	 5619 	 100.0 	 50.7 	 1.590222848 
92744.83333333333 	 4247 	 409 	 3838 	 100.0 	 50.7 	 1.590185984 
89371.5 	 3215 	 632 	 2583 	 100.0 	 50.7 	 1.590018048 
89367.5 	 6199 	 564 	 5635 	 42.9 	 50.7 	 1.590222848 
89371.5 	 6211 	 697 	 5514 	 18.7 	 50.7 	 1.590222848 
92744.83333333333 	 6289 	 236 	 6053 	 31.2 	 50.7 	 1.590222848 
92744.83333333333 	 5236 	 602 	 4634 	 27.6 	 50.7 	 1.589628928 
92744.83333333333 	 4200 	 168 	 4032 	 100.0 	 50.7 	 1.590095872 
92744.83333333333 	 3277 	 549 	 2728 	 23.8 	 50.7 	 1.590018048 
92744.83333333333 	 4237 	 479 	 3758 	 37.5 	 50.7 	 1.590185984 
92760.83333333333 	 5212 	 418 	 4794 	 18.6 	 50.7 	 1.590185984 
89367.5 	 6279 	 672 	 5607 	 13.0 	 50.7 	 1.590222848 
92750.83333333333 	 4321 	 197 	 4124 	 20.1 	 50.7 	 1.590185984 
92744.83333333333 	 6291 	 453 	 5838 	 21.1 	 50.7 	 1.590222848 
89367.5 	 5299 	 367 	 4932 	 100.0 	 50.7 	 1.589895168 
89367.5 	 6323 	 416 	 5907 	 16.7 	 50.7 	 1.590222848 
92744.83333333333 	 6317 	 384 	 5933 	 25.0 	 50.7 	 1.590222848 
89371.5 	 4314 	 938 	 3376 	 16.3 	 50.7 	 1.590095872 
89371.5 	 3339 	 560 	 2779 	 50.0 	 50.7 	 1.590018048 
89371.5 	 4296 	 674 	 3622 	 15.2 	 50.7 	 1.590185984 
89371.5 	 4260 	 566 	 3694 	 25.0 	 50.7 	 1.590018048 
89367.5 	 5314 	 551 	 4763 	 15.5 	 50.7 	 1.589743616 
92744.83333333333 	 3309 	 506 	 2803 	 50.0 	 50.7 	 1.590018048 
89371.5 	 3321 	 629 	 2692 	 100.0 	 50.7 	 1.590018048 
92750.83333333333 	 4283 	 192 	 4091 	 25.9 	 50.7 	 1.590095872 
92766.83333333333 	 3348 	 628 	 2720 	 100.0 	 50.7 	 1.590018048 
92750.83333333333 	 5300 	 615 	 4685 	 100.0 	 50.7 	 1.589641216 
89371.5 	 4334 	 546 	 3788 	 20.0 	 50.7 	 1.590185984 
92750.83333333333 	 4309 	 464 	 3845 	 12.5 	 50.7 	 1.590185984 
92750.83333333333 	 5368 	 186 	 5182 	 100.0 	 50.7 	 1.589895168 
89367.5 	 5331 	 346 	 4985 	 17.9 	 50.7 	 1.589895168 
89371.5 	 6283 	 529 	 5754 	 19.6 	 50.7 	 1.590222848 
89371.5 	 5305 	 232 	 5073 	 33.3 	 50.7 	 1.590185984 
92750.83333333333 	 5367 	 168 	 5199 	 16.5 	 50.7 	 1.589895168 
92744.83333333333 	 3322 	 494 	 2828 	 50.0 	 50.7 	 1.590018048 
89367.5 	 8381 	 758 	 7623 	 20.0 	 50.8 	 1.591709696 
89371.5 	 7434 	 456 	 6978 	 100.0 	 50.7 	 1.59123456 
92744.83333333333 	 8427 	 207 	 8220 	 24.6 	 50.7 	 1.590505472 
89371.5 	 7425 	 418 	 7007 	 33.3 	 50.8 	 1.59277056 
89371.5 	 7423 	 180 	 7243 	 18.3 	 50.8 	 1.592520704 
89367.5 	 6469 	 297 	 6172 	 19.6 	 50.8 	 1.59277056 
89367.5 	 6516 	 552 	 5964 	 35.3 	 50.8 	 1.593024512 
92744.83333333333 	 7500 	 759 	 6741 	 66.7 	 50.8 	 1.591709696 
89371.5 	 7469 	 656 	 6813 	 42.9 	 50.8 	 1.591709696 
89367.5 	 7460 	 554 	 6906 	 33.3 	 50.8 	 1.593024512 
89371.5 	 6518 	 461 	 6057 	 100.0 	 50.8 	 1.59277056 
89371.5 	 7520 	 448 	 7072 	 26.9 	 50.7 	 1.59123456 
89371.5 	 6542 	 409 	 6133 	 29.0 	 50.8 	 1.59277056 
89371.5 	 7547 	 711 	 6836 	 33.3 	 50.8 	 1.591709696 
92744.83333333333 	 7497 	 608 	 6889 	 40.0 	 50.8 	 1.591709696 
92756.83333333333 	 7550 	 584 	 6966 	 25.0 	 50.8 	 1.591709696 
92744.83333333333 	 8488 	 400 	 8088 	 25.3 	 50.7 	 1.59123456 
89371.5 	 7176 	 439 	 6737 	 64.3 	 50.8 	 1.59287296 
92750.83333333333 	 6231 	 293 	 5938 	 17.7 	 50.8 	 1.59287296 
92756.83333333333 	 6283 	 641 	 5642 	 66.7 	 50.8 	 1.59287296 
89367.5 	 6272 	 458 	 5814 	 16.7 	 50.8 	 1.59287296 
92750.83333333333 	 7213 	 654 	 6559 	 23.2 	 50.8 	 1.59287296 
92750.83333333333 	 7207 	 379 	 6828 	 100.0 	 50.8 	 1.59287296 
89367.5 	 6247 	 677 	 5570 	 100.0 	 50.8 	 1.59287296 
89371.5 	 6263 	 491 	 5772 	 18.8 	 50.8 	 1.59287296 
89367.5 	 6300 	 851 	 5449 	 16.4 	 50.8 	 1.59287296 
89367.5 	 7273 	 631 	 6642 	 38.6 	 50.8 	 1.59307776 
92744.83333333333 	 7255 	 392 	 6863 	 29.4 	 50.8 	 1.59287296 
92760.83333333333 	 7287 	 803 	 6484 	 11.5 	 50.8 	 1.59307776 
89371.5 	 11243 	 512 	 10731 	 8.3 	 50.8 	 1.593102336 
92744.83333333333 	 10219 	 370 	 9849 	 100.0 	 50.7 	 1.591300096 
89371.5 	 10286 	 385 	 9901 	 100.0 	 50.8 	 1.591668736 
89371.5 	 9267 	 724 	 8543 	 25.0 	 50.7 	 1.59121408 
92750.83333333333 	 10250 	 170 	 10080 	 100.0 	 50.7 	 1.591300096 
89371.5 	 11250 	 699 	 10551 	 13.9 	 50.8 	 1.591631872 
92744.83333333333 	 10218 	 801 	 9417 	 28.6 	 50.7 	 1.59121408 
92744.83333333333 	 10255 	 349 	 9906 	 20.0 	 50.7 	 1.591300096 
89367.5 	 12239 	 416 	 11823 	 11.0 	 50.8 	 1.593102336 
