txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
92744.83333333333 	 5664 	 901 	 4763 	 47.5 	 48.0 	 1.505230848 
89371.5 	 6674 	 699 	 5975 	 47.5 	 48.0 	 1.505230848 
89367.5 	 5685 	 737 	 4948 	 48.7 	 48.0 	 1.505230848 
92744.83333333333 	 6653 	 903 	 5750 	 44.7 	 48.0 	 1.505230848 
92750.83333333333 	 5670 	 802 	 4868 	 41.5 	 48.0 	 1.505439744 
92744.83333333333 	 4755 	 395 	 4360 	 41.9 	 48.0 	 1.505439744 
89371.5 	 5704 	 610 	 5094 	 38.1 	 48.0 	 1.505439744 
92744.83333333333 	 5703 	 943 	 4760 	 36.6 	 48.0 	 1.505439744 
92744.83333333333 	 4739 	 249 	 4490 	 36.6 	 48.0 	 1.505439744 
92744.83333333333 	 4785 	 254 	 4531 	 29.5 	 48.0 	 1.505439744 
89371.5 	 6712 	 905 	 5807 	 28.6 	 48.0 	 1.505439744 
89371.5 	 5781 	 391 	 5390 	 28.6 	 48.0 	 1.505439744 
89371.5 	 6784 	 591 	 6193 	 28.6 	 48.0 	 1.505439744 
92750.83333333333 	 6806 	 759 	 6047 	 30.2 	 48.0 	 1.505439744 
89371.5 	 5795 	 421 	 5374 	 28.6 	 48.0 	 1.505439744 
89367.5 	 6747 	 716 	 6031 	 26.8 	 48.0 	 1.505439744 
89371.5 	 6804 	 843 	 5961 	 27.9 	 48.0 	 1.505439744 
89371.5 	 6762 	 839 	 5923 	 27.9 	 48.0 	 1.505439744 
89371.5 	 5784 	 438 	 5346 	 28.9 	 48.0 	 1.505439744 
89371.5 	 6818 	 451 	 6367 	 20.9 	 48.0 	 1.505603584 
89371.5 	 6953 	 893 	 6060 	 32.5 	 48.0 	 1.505120256 
92744.83333333333 	 5959 	 242 	 5717 	 34.0 	 48.0 	 1.505120256 
89371.5 	 6004 	 247 	 5757 	 34.1 	 48.0 	 1.505120256 
89371.5 	 5028 	 259 	 4769 	 35.0 	 48.0 	 1.505120256 
92750.83333333333 	 15339 	 1718 	 13621 	 34.0 	 49.2 	 1.541808128 
92760.83333333333 	 14416 	 379 	 14037 	 42.5 	 49.2 	 1.541656576 
89371.5 	 16441 	 433 	 16008 	 51.2 	 49.2 	 1.541656576 
89367.5 	 15434 	 1454 	 13980 	 50.0 	 49.2 	 1.541537792 
92744.83333333333 	 15500 	 1348 	 14152 	 48.8 	 49.2 	 1.541537792 
89367.5 	 12498 	 418 	 12080 	 42.2 	 49.2 	 1.541537792 
89367.5 	 15414 	 1461 	 13953 	 48.7 	 49.2 	 1.541644288 
89371.5 	 16454 	 1305 	 15149 	 44.4 	 49.2 	 1.541644288 
92744.83333333333 	 14510 	 1236 	 13274 	 45.5 	 49.2 	 1.541644288 
89367.5 	 16415 	 430 	 15985 	 42.6 	 49.2 	 1.541537792 
92756.83333333333 	 14447 	 279 	 14168 	 50.0 	 49.2 	 1.541644288 
89367.5 	 15466 	 1375 	 14091 	 47.8 	 49.2 	 1.541644288 
89367.5 	 14440 	 207 	 14233 	 47.6 	 49.2 	 1.541644288 
92744.83333333333 	 16488 	 430 	 16058 	 44.8 	 49.2 	 1.541644288 
92744.83333333333 	 15502 	 659 	 14843 	 44.1 	 49.2 	 1.541644288 
89367.5 	 12236 	 278 	 11958 	 45.6 	 49.2 	 1.541644288 
89371.5 	 14491 	 1134 	 13357 	 42.6 	 49.2 	 1.541644288 
89371.5 	 14468 	 356 	 14112 	 46.7 	 49.2 	 1.541644288 
89367.5 	 15457 	 420 	 15037 	 46.0 	 49.2 	 1.541644288 
89367.5 	 15443 	 1438 	 14005 	 50.0 	 49.2 	 1.541644288 
89371.5 	 15481 	 652 	 14829 	 43.7 	 49.2 	 1.541644288 
92744.83333333333 	 16415 	 1197 	 15218 	 46.0 	 49.2 	 1.541644288 
89371.5 	 15532 	 984 	 14548 	 46.0 	 49.2 	 1.541644288 
92744.83333333333 	 14537 	 984 	 13553 	 47.7 	 49.2 	 1.541644288 
89367.5 	 16474 	 1683 	 14791 	 46.9 	 49.2 	 1.541644288 
89367.5 	 18457 	 1274 	 17183 	 39.5 	 49.2 	 1.542238208 
89371.5 	 18389 	 1052 	 17337 	 38.1 	 49.2 	 1.542238208 
92750.83333333333 	 18478 	 1401 	 17077 	 39.0 	 49.2 	 1.542238208 
89367.5 	 18419 	 859 	 17560 	 37.2 	 49.2 	 1.542238208 
89371.5 	 17439 	 963 	 16476 	 34.1 	 49.2 	 1.542238208 
92756.83333333333 	 19457 	 1216 	 18241 	 35.0 	 49.2 	 1.542238208 
89367.5 	 17215 	 691 	 16524 	 36.0 	 49.2 	 1.542397952 
89371.5 	 18426 	 880 	 17546 	 36.4 	 49.2 	 1.542397952 
89371.5 	 17513 	 812 	 16701 	 34.1 	 49.2 	 1.542397952 
92744.83333333333 	 17203 	 652 	 16551 	 34.2 	 49.2 	 1.542397952 
92744.83333333333 	 18431 	 813 	 17618 	 37.2 	 49.2 	 1.542238208 
89371.5 	 18529 	 1307 	 17222 	 33.3 	 49.2 	 1.542397952 
92744.83333333333 	 18488 	 1118 	 17370 	 36.8 	 49.2 	 1.542397952 
89371.5 	 17482 	 993 	 16489 	 34.1 	 49.2 	 1.542397952 
92756.83333333333 	 17526 	 1234 	 16292 	 33.3 	 49.2 	 1.542397952 
89371.5 	 18523 	 812 	 17711 	 33.3 	 49.2 	 1.542397952 
92750.83333333333 	 16426 	 566 	 15860 	 36.4 	 49.2 	 1.542397952 
92744.83333333333 	 16493 	 632 	 15861 	 33.3 	 49.2 	 1.542397952 
89367.5 	 19456 	 813 	 18643 	 35.8 	 49.2 	 1.542397952 
92756.83333333333 	 19456 	 1126 	 18330 	 35.7 	 49.2 	 1.542397952 
92744.83333333333 	 18535 	 1094 	 17441 	 36.5 	 49.2 	 1.542397952 
92744.83333333333 	 17252 	 1098 	 16154 	 36.2 	 49.2 	 1.542397952 
89367.5 	 16529 	 430 	 16099 	 35.7 	 49.2 	 1.542397952 
89371.5 	 17236 	 859 	 16377 	 33.3 	 49.2 	 1.542397952 
92744.83333333333 	 16529 	 533 	 15996 	 34.1 	 49.2 	 1.542397952 
92744.83333333333 	 17976 	 678 	 17298 	 25.0 	 49.6 	 1.55404288 
89367.5 	 15963 	 673 	 15290 	 24.4 	 49.6 	 1.55404288 
89371.5 	 15959 	 626 	 15333 	 26.5 	 49.6 	 1.55404288 
89367.5 	 16945 	 587 	 16358 	 25.9 	 49.6 	 1.55404288 
89367.5 	 16042 	 505 	 15537 	 31.7 	 49.6 	 1.55404288 
89371.5 	 17974 	 701 	 17273 	 35.9 	 49.6 	 1.554202624 
92750.83333333333 	 17018 	 913 	 16105 	 33.3 	 49.6 	 1.554202624 
92744.83333333333 	 17049 	 775 	 16274 	 34.2 	 49.6 	 1.554202624 
92750.83333333333 	 18047 	 612 	 17435 	 36.6 	 49.6 	 1.554202624 
92750.83333333333 	 16100 	 697 	 15403 	 40.0 	 49.6 	 1.554202624 
89371.5 	 16133 	 471 	 15662 	 40.5 	 49.6 	 1.554051072 
89371.5 	 17114 	 610 	 16504 	 41.5 	 49.6 	 1.554051072 
92750.83333333333 	 17067 	 986 	 16081 	 41.5 	 49.6 	 1.554051072 
92744.83333333333 	 17142 	 532 	 16610 	 40.5 	 49.5 	 1.553719296 
92744.83333333333 	 16101 	 518 	 15583 	 40.5 	 49.6 	 1.553719296 
89371.5 	 17148 	 192 	 16956 	 40.9 	 49.5 	 1.553719296 
89371.5 	 16116 	 585 	 15531 	 42.9 	 49.5 	 1.553719296 
89371.5 	 17156 	 426 	 16730 	 41.5 	 49.5 	 1.553719296 
89371.5 	 16116 	 663 	 15453 	 44.4 	 49.5 	 1.553719296 
89371.5 	 16093 	 850 	 15243 	 44.2 	 49.5 	 1.553719296 
89367.5 	 17077 	 601 	 16476 	 42.9 	 49.5 	 1.553719296 
92750.83333333333 	 18145 	 1338 	 16807 	 43.7 	 49.5 	 1.553719296 
92744.83333333333 	 18180 	 677 	 17503 	 41.8 	 49.5 	 1.553719296 
92750.83333333333 	 18172 	 858 	 17314 	 43.2 	 49.5 	 1.553719296 
89371.5 	 17128 	 368 	 16760 	 41.7 	 49.5 	 1.553719296 
92744.83333333333 	 19461 	 524 	 18937 	 27.7 	 50.0 	 1.568473088 
92750.83333333333 	 17602 	 369 	 17233 	 32.5 	 50.0 	 1.568632832 
89371.5 	 18578 	 547 	 18031 	 30.8 	 50.0 	 1.568632832 
92756.83333333333 	 19624 	 208 	 19416 	 30.0 	 50.0 	 1.568632832 
92750.83333333333 	 19652 	 199 	 19453 	 31.6 	 50.0 	 1.568632832 
92744.83333333333 	 18593 	 776 	 17817 	 30.8 	 50.0 	 1.568632832 
92756.83333333333 	 19600 	 509 	 19091 	 32.5 	 50.0 	 1.568632832 
89371.5 	 17566 	 279 	 17287 	 31.6 	 50.0 	 1.568632832 
89371.5 	 18665 	 174 	 18491 	 37.0 	 50.0 	 1.568632832 
89371.5 	 18575 	 542 	 18033 	 35.6 	 50.0 	 1.568632832 
89371.5 	 20629 	 770 	 19859 	 35.6 	 50.0 	 1.568632832 
92744.83333333333 	 19665 	 612 	 19053 	 37.2 	 50.0 	 1.568632832 
92756.83333333333 	 17673 	 167 	 17506 	 37.5 	 50.0 	 1.568632832 
89367.5 	 18631 	 543 	 18088 	 35.0 	 50.0 	 1.568632832 
89371.5 	 18648 	 689 	 17959 	 35.2 	 50.0 	 1.568632832 
89367.5 	 19627 	 633 	 18994 	 35.3 	 50.0 	 1.568632832 
89371.5 	 18646 	 575 	 18071 	 36.6 	 50.0 	 1.568632832 
89371.5 	 18674 	 379 	 18295 	 38.1 	 50.0 	 1.568632832 
92756.83333333333 	 17676 	 152 	 17524 	 37.0 	 50.0 	 1.568632832 
92756.83333333333 	 19600 	 607 	 18993 	 35.7 	 50.0 	 1.568632832 
89367.5 	 18710 	 590 	 18120 	 34.9 	 50.0 	 1.568632832 
92744.83333333333 	 19609 	 507 	 19102 	 36.2 	 50.0 	 1.568632832 
89367.5 	 18708 	 339 	 18369 	 36.0 	 50.0 	 1.568792576 
92744.83333333333 	 19664 	 565 	 19099 	 34.8 	 50.0 	 1.568792576 
92750.83333333333 	 19672 	 192 	 19480 	 36.7 	 50.0 	 1.568792576 
89367.5 	 13345 	 339 	 13006 	 57.8 	 50.0 	 1.568415744 
89367.5 	 13367 	 501 	 12866 	 54.8 	 50.0 	 1.568415744 
89367.5 	 14412 	 361 	 14051 	 54.5 	 50.0 	 1.568415744 
92750.83333333333 	 14407 	 672 	 13735 	 46.5 	 50.0 	 1.568669696 
92750.83333333333 	 14390 	 654 	 13736 	 43.9 	 50.0 	 1.568669696 
89371.5 	 18963 	 456 	 18507 	 43.9 	 50.0 	 1.568669696 
92744.83333333333 	 14365 	 864 	 13501 	 43.9 	 50.0 	 1.568669696 
92750.83333333333 	 19001 	 530 	 18471 	 40.5 	 50.0 	 1.568669696 
89367.5 	 14357 	 756 	 13601 	 39.0 	 50.0 	 1.568669696 
89367.5 	 14444 	 325 	 14119 	 34.9 	 50.0 	 1.568669696 
92744.83333333333 	 14421 	 175 	 14246 	 37.2 	 50.0 	 1.568669696 
89371.5 	 14410 	 813 	 13597 	 35.7 	 50.0 	 1.568669696 
92744.83333333333 	 13431 	 648 	 12783 	 36.4 	 50.0 	 1.568518144 
92750.83333333333 	 14387 	 603 	 13784 	 36.6 	 50.0 	 1.568669696 
89367.5 	 13397 	 642 	 12755 	 37.2 	 50.0 	 1.568669696 
92750.83333333333 	 19004 	 608 	 18396 	 40.5 	 50.0 	 1.568518144 
89367.5 	 18990 	 498 	 18492 	 42.2 	 50.0 	 1.568518144 
89371.5 	 13480 	 182 	 13298 	 40.9 	 50.0 	 1.568366592 
89367.5 	 18987 	 439 	 18548 	 40.9 	 50.0 	 1.568366592 
89367.5 	 13469 	 354 	 13115 	 40.5 	 50.0 	 1.568518144 
92756.83333333333 	 13511 	 371 	 13140 	 39.0 	 50.0 	 1.568366592 
92744.83333333333 	 13408 	 807 	 12601 	 38.0 	 50.0 	 1.56821504 
89371.5 	 13477 	 477 	 13000 	 42.5 	 50.0 	 1.56821504 
92750.83333333333 	 14491 	 722 	 13769 	 43.9 	 50.0 	 1.56821504 
89367.5 	 19148 	 537 	 18611 	 38.5 	 50.0 	 1.567920128 
92744.83333333333 	 20463 	 786 	 19677 	 29.8 	 50.6 	 1.5855616 
92744.83333333333 	 18519 	 156 	 18363 	 29.8 	 50.6 	 1.5855616 
92744.83333333333 	 20479 	 740 	 19739 	 31.8 	 50.6 	 1.5855616 
92744.83333333333 	 19559 	 766 	 18793 	 28.6 	 50.6 	 1.5855616 
89367.5 	 19468 	 947 	 18521 	 30.4 	 50.6 	 1.5855616 
89367.5 	 20550 	 157 	 20393 	 31.0 	 50.6 	 1.5855616 
89367.5 	 19521 	 578 	 18943 	 29.5 	 50.6 	 1.585815552 
92756.83333333333 	 20564 	 494 	 20070 	 29.8 	 50.6 	 1.585815552 
89371.5 	 19491 	 554 	 18937 	 31.1 	 50.6 	 1.585815552 
92744.83333333333 	 20576 	 161 	 20415 	 29.5 	 50.6 	 1.585815552 
89371.5 	 18563 	 245 	 18318 	 30.2 	 50.6 	 1.5855616 
92750.83333333333 	 19547 	 573 	 18974 	 28.9 	 50.6 	 1.585815552 
92750.83333333333 	 19580 	 227 	 19353 	 30.0 	 50.6 	 1.585815552 
89371.5 	 20545 	 587 	 19958 	 30.2 	 50.6 	 1.585815552 
92756.83333333333 	 18510 	 323 	 18187 	 29.5 	 50.6 	 1.585815552 
89371.5 	 19533 	 399 	 19134 	 30.4 	 50.6 	 1.585815552 
89367.5 	 20611 	 452 	 20159 	 27.9 	 50.6 	 1.585815552 
92744.83333333333 	 20577 	 400 	 20177 	 29.4 	 50.6 	 1.585815552 
92744.83333333333 	 18523 	 543 	 17980 	 30.5 	 50.6 	 1.585815552 
92750.83333333333 	 19632 	 412 	 19220 	 28.6 	 50.6 	 1.585815552 
89371.5 	 20539 	 707 	 19832 	 30.4 	 50.6 	 1.585815552 
92756.83333333333 	 21508 	 832 	 20676 	 30.2 	 50.6 	 1.585815552 
89371.5 	 19530 	 569 	 18961 	 31.1 	 50.6 	 1.585815552 
92750.83333333333 	 20574 	 378 	 20196 	 29.8 	 50.6 	 1.585815552 
89371.5 	 19566 	 570 	 18996 	 29.6 	 50.6 	 1.585815552 
89371.5 	 26409 	 592 	 25817 	 31.1 	 51.6 	 1.61712128 
89371.5 	 24334 	 565 	 23769 	 33.3 	 51.6 	 1.61712128 
92744.83333333333 	 26342 	 725 	 25617 	 31.7 	 51.6 	 1.61712128 
89371.5 	 25395 	 410 	 24985 	 33.3 	 51.6 	 1.61712128 
89371.5 	 25380 	 324 	 25056 	 32.6 	 51.6 	 1.61712128 
89371.5 	 25350 	 260 	 25090 	 34.0 	 51.6 	 1.61712128 
89367.5 	 26381 	 578 	 25803 	 31.1 	 51.6 	 1.61712128 
89367.5 	 26386 	 554 	 25832 	 32.6 	 51.6 	 1.61712128 
92744.83333333333 	 24407 	 314 	 24093 	 32.1 	 51.6 	 1.61712128 
92744.83333333333 	 25415 	 738 	 24677 	 31.1 	 51.6 	 1.616969728 
89371.5 	 24423 	 378 	 24045 	 32.6 	 51.6 	 1.61712128 
89367.5 	 25382 	 361 	 25021 	 31.1 	 51.6 	 1.61712128 
89367.5 	 25386 	 694 	 24692 	 32.3 	 51.6 	 1.616969728 
92756.83333333333 	 25437 	 735 	 24702 	 33.3 	 51.6 	 1.616969728 
92744.83333333333 	 24441 	 408 	 24033 	 31.9 	 51.6 	 1.616969728 
92744.83333333333 	 24398 	 412 	 23986 	 33.3 	 51.6 	 1.616969728 
92756.83333333333 	 24421 	 424 	 23997 	 33.3 	 51.6 	 1.616969728 
92744.83333333333 	 25405 	 299 	 25106 	 33.3 	 51.6 	 1.616969728 
89367.5 	 25449 	 304 	 25145 	 32.3 	 51.6 	 1.616969728 
92750.83333333333 	 24421 	 695 	 23726 	 34.0 	 51.6 	 1.616969728 
89371.5 	 25408 	 527 	 24881 	 34.6 	 51.6 	 1.616969728 
89371.5 	 26453 	 551 	 25902 	 37.0 	 51.6 	 1.616969728 
92750.83333333333 	 24537 	 659 	 23878 	 32.0 	 51.5 	 1.61632256 
92744.83333333333 	 24633 	 201 	 24432 	 23.3 	 51.5 	 1.61632256 
89367.5 	 26539 	 423 	 26116 	 22.5 	 51.5 	 1.61632256 
89371.5 	 28431 	 709 	 27722 	 34.1 	 51.5 	 1.614798848 
89367.5 	 28491 	 660 	 27831 	 28.6 	 51.5 	 1.614782464 
92744.83333333333 	 26500 	 348 	 26152 	 32.6 	 51.5 	 1.614782464 
89371.5 	 28492 	 894 	 27598 	 32.4 	 51.5 	 1.614782464 
89367.5 	 27481 	 684 	 26797 	 31.6 	 51.5 	 1.614782464 
92756.83333333333 	 27497 	 398 	 27099 	 31.4 	 51.5 	 1.614782464 
89371.5 	 28509 	 455 	 28054 	 33.3 	 51.5 	 1.614782464 
89371.5 	 29547 	 841 	 28706 	 30.8 	 51.5 	 1.614782464 
89367.5 	 27496 	 576 	 26920 	 33.9 	 51.5 	 1.614782464 
89371.5 	 26465 	 213 	 26252 	 34.4 	 51.5 	 1.614782464 
89367.5 	 27479 	 708 	 26771 	 33.3 	 51.5 	 1.614782464 
89367.5 	 27525 	 225 	 27300 	 32.9 	 51.5 	 1.614782464 
92750.83333333333 	 26553 	 162 	 26391 	 32.1 	 51.5 	 1.614782464 
92744.83333333333 	 28536 	 206 	 28330 	 32.9 	 51.5 	 1.614782464 
92744.83333333333 	 28532 	 218 	 28314 	 31.9 	 51.5 	 1.614782464 
92744.83333333333 	 28533 	 650 	 27883 	 34.5 	 51.5 	 1.614782464 
89371.5 	 27553 	 178 	 27375 	 33.9 	 51.5 	 1.614782464 
89367.5 	 27575 	 436 	 27139 	 31.5 	 51.5 	 1.614782464 
92756.83333333333 	 27499 	 502 	 26997 	 33.3 	 51.5 	 1.614782464 
92744.83333333333 	 27499 	 534 	 26965 	 32.3 	 51.5 	 1.614942208 
89367.5 	 26728 	 397 	 26331 	 34.2 	 51.5 	 1.614614528 
92744.83333333333 	 28627 	 402 	 28225 	 34.1 	 51.5 	 1.614614528 
89367.5 	 28685 	 449 	 28236 	 30.8 	 51.5 	 1.614614528 
92744.83333333333 	 27768 	 440 	 27328 	 30.8 	 51.5 	 1.614614528 
89371.5 	 28763 	 577 	 28186 	 27.0 	 51.5 	 1.614614528 
89371.5 	 26329 	 644 	 25685 	 31.6 	 51.5 	 1.61458176 
89367.5 	 25367 	 610 	 24757 	 34.0 	 51.5 	 1.61458176 
92744.83333333333 	 25318 	 819 	 24499 	 31.5 	 51.5 	 1.61458176 
89371.5 	 27358 	 591 	 26767 	 32.6 	 51.5 	 1.61458176 
89367.5 	 26371 	 409 	 25962 	 29.5 	 51.5 	 1.61458176 
