txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
92744.83333333333 	 3410 	 185 	 3225 	 2.4 	 50.8 	 1.59281152 
92744.83333333333 	 5401 	 294 	 5107 	 2.4 	 50.8 	 1.59281152 
92750.83333333333 	 4428 	 199 	 4229 	 5.0 	 50.8 	 1.59281152 
89367.5 	 7373 	 173 	 7200 	 11.9 	 51.7 	 1.621991424 
89371.5 	 5368 	 233 	 5135 	 11.9 	 51.7 	 1.621991424 
89367.5 	 9389 	 184 	 9205 	 11.9 	 51.7 	 1.621991424 
89367.5 	 3390 	 175 	 3215 	 7.5 	 51.7 	 1.621991424 
92750.83333333333 	 4388 	 193 	 4195 	 7.5 	 51.7 	 1.621991424 
92744.83333333333 	 6418 	 226 	 6192 	 10.3 	 51.7 	 1.621991424 
92744.83333333333 	 8417 	 184 	 8233 	 12.5 	 51.7 	 1.621991424 
92750.83333333333 	 3856 	 172 	 3684 	 5.3 	 52.5 	 1.647951872 
92744.83333333333 	 5882 	 169 	 5713 	 2.5 	 52.5 	 1.647951872 
89367.5 	 2880 	 186 	 2694 	 2.5 	 52.5 	 1.647951872 
89371.5 	 6907 	 186 	 6721 	 7.7 	 52.5 	 1.647951872 
89371.5 	 4876 	 316 	 4560 	 7.1 	 52.5 	 1.647951872 
92744.83333333333 	 3446 	 291 	 3155 	 4.9 	 52.7 	 1.652178944 
92750.83333333333 	 8453 	 173 	 8280 	 9.8 	 53.9 	 1.69097216 
89367.5 	 9481 	 183 	 9298 	 4.9 	 53.9 	 1.69097216 
92744.83333333333 	 13997 	 172 	 13825 	 7.7 	 55.3 	 1.732698112 
92744.83333333333 	 16011 	 225 	 15786 	 10.3 	 55.3 	 1.733206016 
92744.83333333333 	 11021 	 226 	 10795 	 12.8 	 55.3 	 1.733967872 
89371.5 	 13036 	 185 	 12851 	 15.0 	 55.3 	 1.734221824 
89367.5 	 6451 	 205 	 6246 	 15.0 	 55.3 	 1.734221824 
89367.5 	 12046 	 194 	 11852 	 15.0 	 55.3 	 1.734221824 
89367.5 	 15049 	 178 	 14871 	 14.6 	 55.3 	 1.734221824 
89367.5 	 4791 	 175 	 4616 	 20.9 	 56.5 	 1.771798528 
89371.5 	 3777 	 184 	 3593 	 19.1 	 56.5 	 1.771798528 
92744.83333333333 	 6774 	 179 	 6595 	 15.6 	 56.5 	 1.771798528 
89371.5 	 8797 	 192 	 8605 	 20.0 	 56.5 	 1.772040192 
89367.5 	 7797 	 177 	 7620 	 26.1 	 56.5 	 1.772294144 
89371.5 	 9840 	 216 	 9624 	 31.7 	 56.6 	 1.773817856 
89371.5 	 5858 	 293 	 5565 	 25.0 	 56.6 	 1.773817856 
92744.83333333333 	 2892 	 191 	 2701 	 12.2 	 56.6 	 1.773817856 
89371.5 	 11903 	 172 	 11731 	 12.2 	 56.6 	 1.773817856 
89371.5 	 10907 	 178 	 10729 	 7.3 	 56.6 	 1.773817856 
89367.5 	 5785 	 186 	 5599 	 15.4 	 57.4 	 1.80158464 
89371.5 	 3794 	 181 	 3613 	 20.0 	 57.5 	 1.803444224 
92744.83333333333 	 6791 	 192 	 6599 	 17.9 	 57.5 	 1.803194368 
92756.83333333333 	 7838 	 202 	 7636 	 19.0 	 57.5 	 1.80344832 
89371.5 	 4843 	 219 	 4624 	 17.5 	 57.5 	 1.80344832 
89371.5 	 2861 	 174 	 2687 	 15.0 	 57.5 	 1.803296768 
92760.83333333333 	 2702 	 181 	 2521 	 5.1 	 58.1 	 1.821458432 
92744.83333333333 	 5712 	 202 	 5510 	 7.5 	 58.1 	 1.821458432 
92756.83333333333 	 3713 	 174 	 3539 	 7.5 	 58.1 	 1.821458432 
89371.5 	 4777 	 210 	 4567 	 15.4 	 58.1 	 1.82296576 
92744.83333333333 	 6790 	 187 	 6603 	 14.6 	 58.1 	 1.82296576 
92750.83333333333 	 2763 	 182 	 2581 	 7.7 	 58.2 	 1.825312768 
92744.83333333333 	 6763 	 194 	 6569 	 12.8 	 59.3 	 1.859743744 
89367.5 	 4781 	 181 	 4600 	 13.2 	 59.3 	 1.860743168 
89371.5 	 7814 	 187 	 7627 	 15.4 	 59.3 	 1.860743168 
89371.5 	 2820 	 180 	 2640 	 13.5 	 59.3 	 1.860743168 
89367.5 	 5836 	 184 	 5652 	 10.3 	 59.3 	 1.860743168 
92744.83333333333 	 3840 	 282 	 3558 	 10.3 	 59.3 	 1.860743168 
89367.5 	 8836 	 174 	 8662 	 10.3 	 59.3 	 1.860743168 
89367.5 	 6421 	 285 	 6136 	 4.9 	 59.8 	 1.876058112 
92772.83333333333 	 6763 	 189 	 6574 	 7.5 	 60.1 	 1.883480064 
92744.83333333333 	 796 	 176 	 620 	 5.0 	 60.1 	 1.883480064 
89371.5 	 2209 	 176 	 2033 	 5.1 	 60.1 	 1.883480064 
92750.83333333333 	 1237 	 239 	 998 	 4.9 	 60.1 	 1.883480064 
89371.5 	 241 	 196 	 45 	 4.9 	 60.1 	 1.883480064 
92750.83333333333 	 2310 	 554 	 1756 	 7.5 	 60.3 	 1.890656256 
89367.5 	 3322 	 739 	 2583 	 12.8 	 60.3 	 1.89116416 
89371.5 	 5675 	 257 	 5418 	 7.7 	 61.0 	 1.91213568 
89371.5 	 4721 	 370 	 4351 	 10.3 	 61.0 	 1.91213568 
89371.5 	 6766 	 473 	 6293 	 5.3 	 61.0 	 1.91213568 
89367.5 	 3176 	 197 	 2979 	 7.7 	 61.1 	 1.915686912 
89367.5 	 4255 	 190 	 4065 	 9.5 	 61.1 	 1.915686912 
92750.83333333333 	 5268 	 184 	 5084 	 7.3 	 61.1 	 1.915686912 
89371.5 	 4327 	 175 	 4152 	 2.5 	 61.0 	 1.91277056 
92760.83333333333 	 5321 	 195 	 5126 	 7.1 	 61.0 	 1.91277056 
89371.5 	 3326 	 180 	 3146 	 5.0 	 61.0 	 1.91277056 
92744.83333333333 	 7336 	 177 	 7159 	 9.3 	 61.0 	 1.91277056 
