txSize	resTime	cpuPerc	memoryPerc	memoryUsed
1458.8333333333333 	 37649 	 0.4 	 37.6 	 1.179410432 
1458.8333333333333 	 40727 	 1.2 	 40.1 	 1.258504192 
1458.8333333333333 	 726 	 1.8 	 44.2 	 1.385971712
1458.8333333333333 	 4189 	 3.7 	 51.7 	 1.620574208 
1458.8333333333333 	 2936 	 4.2 	 37.0 	 1.159692288 
1458.8333333333333 	 3183 	 8.2 	 40.0 	 1.255018496 
1458.8333333333333 	 5185 	 2.1 	 40.0 	 1.253605376 
1458.8333333333333 	 711 	 10.5 	 40.2 	 1.259831296 
1458.8333333333333 	 3613 	 4.7 	 40.5 	 1.270902784 
1458.8333333333333 	 7507 	 3.3 	 40.7 	 1.276440576 
1458.8333333333333 	 13009 	 2.9 	 41.5 	 1.302818816 
1458.8333333333333 	 4103 	 2.0 	 38.1 	 1.194606592 
1458.8333333333333 	 5416 	 1.9 	 47.2 	 1.47861504 
1458.8333333333333 	 43817 	 1.0 	 39.1 	 1.22568704 
1458.8333333333333 	 6395 	 0.7 	 39.1 	 1.22638336 
1458.8333333333333 	 5245 	 1.4 	 39.1 	 1.225981952 
1458.8333333333333 	 5780 	 0.9 	 52.0 	 1.629274112 
1458.8333333333333 	 98779 	 2.0 	 62.4 	 1.958105088 
2158.8333333333335 	 9370 	 1.4 	 50.0 	 1.5686656 
2158.8333333333335 	 5754 	 1.2 	 48.6 	 1.522688 
1458.8333333333333 	 7744 	 2.1 	 49.0 	 1.5371264 
1458.8333333333333 	 8036 	 1.5 	 49.0 	 1.537511424 
1458.8333333333333 	 649 	 2.7 	 47.0 	 1.473314816 
1458.8333333333333 	 2600 	 0.7 	 47.0 	 1.47298304 
1458.8333333333333 	 1392 	 3.3 	 47.0 	 1.473196032 
1458.8333333333333 	 3450 	 16.3 	 47.0 	 1.473216512 
1458.8333333333333 	 6090 	 0.5 	 46.9 	 1.472167936 
1458.8333333333333 	 10143 	 5.7 	 46.9 	 1.472172032 
1458.8333333333333 	 3870 	 2.8 	 51.9 	 1.628884992 
1458.8333333333333 	 9453 	 2.5 	 52.4 	 1.642610688 
1458.8333333333333 	 5825 	 1.5 	 57.3 	 1.79560448 
1458.8333333333333 	 1318 	 0.3 	 57.0 	 1.7883136 
1458.8333333333333 	 5862 	 0.4 	 56.8 	 1.781710848 
1458.8333333333333 	 4713 	 0.4 	 56.9 	 1.784721408 
7858.833333333333 	 5669 	 1.2 	 58.9 	 1.847066624 
1458.8333333333333 	 4915 	 2.3 	 62.0 	 1.945665536 
1458.8333333333333 	 7647 	 3.0 	 58.8 	 1.844596736 
1458.8333333333333 	 6152 	 1.6 	 57.4 	 1.798905856 
1458.8333333333333 	 10492 	 1.7 	 63.7 	 1.998200832 
1458.8333333333333 	 6041 	 2.6 	 64.8 	 2.033442816 
1458.8333333333333 	 903 	 2.5 	 66.5 	 2.086862848 
1458.8333333333333 	 10969 	 0.5 	 45.9 	 1.438978048 
7858.833333333333 	 5053 	 2.9 	 37.1 	 1.164627968 
1458.8333333333333 	 36315 	 0.6 	 37.1 	 1.163051008 
1458.8333333333333 	 8719 	 2.3 	 43.6 	 1.366536192 
1458.8333333333333 	 8547 	 4.1 	 54.3 	 1.703223296 
1458.8333333333333 	 7712 	 1.1 	 49.2 	 1.543053312 
1458.8333333333333 	 7528 	 1.5 	 49.2 	 1.5430656 
1458.8333333333333 	 1007 	 3.0 	 51.7 	 1.622867968 
1458.8333333333333 	 17479 	 2.3 	 48.2 	 1.511534592 
1458.8333333333333 	 4875 	 1.9 	 42.1 	 1.321189376 
264.0 	 6947 	 0.7 	 42.7 	 1.337659392 
264.0 	 4554 	 1.5 	 42.7 	 1.337942016 
7858.833333333333 	 8298 	 3.7 	 42.7 	 1.338355712 
1458.8333333333333 	 3937 	 2.0 	 43.9 	 1.375756288 
1458.8333333333333 	 6656 	 3.4 	 61.2 	 1.917984768 
1458.8333333333333 	 6110 	 1.7 	 56.3 	 1.764200448 
1458.8333333333333 	 3845 	 1.7 	 61.6 	 1.931689984 
1458.8333333333333 	 2939 	 1.1 	 53.2 	 1.667190784 
1458.8333333333333 	 11578 	 3.2 	 59.5 	 1.864523776 
1458.8333333333333 	 20040 	 0.5 	 53.3 	 1.670610944 
1458.8333333333333 	 6138 	 4.8 	 62.7 	 1.966149632 
1458.8333333333333 	 11158 	 5.0 	 57.6 	 1.804972032 
1458.8333333333333 	 4505 	 7.3 	 48.7 	 1.528537088 
1458.8333333333333 	 4408 	 4.9 	 50.7 	 1.591332864 
1458.8333333333333 	 1090 	 2.4 	 49.8 	 1.562947584 
1458.8333333333333 	 4299 	 5.0 	 53.0 	 1.663266816 
7858.833333333333 	 3375 	 2.4 	 27.4 	 0.859869184 
1458.8333333333333 	 8289 	 0.3 	 45.9 	 1.438420992 
1458.8333333333333 	 5643 	 0.5 	 45.8 	 1.435557888 
1458.8333333333333 	 1876 	 0.8 	 51.3 	 1.60790528 
1458.8333333333333 	 5023 	 7.8 	 59.5 	 1.86638336 
