txSize	resTime	cpuPerc	memoryPerc	memoryUsed
7564.333333333333 	 43605 	 1.5 	 37.6 	 1.1794432 
7584.333333333333 	 41500 	 0.8 	 40.2 	 1.259184128 
7474.166666666667 	 6249 	 6.7 	 34.3 	 1.075355648 
7594.333333333333 	 3724 	 1.1 	 37.8 	 1.186103296 
7566.333333333333 	 317 	 1.1 	 44.2 	 1.386496 
7588.333333333333 	 3172 	 3.8 	 51.6 	 1.618776064 
7576.333333333333 	 1914 	 9.8 	 38.2 	 1.198804992 
7594.333333333333 	 405 	 10.3 	 40.4 	 1.267187712 
7568.333333333333 	 1049 	 8.1 	 40.2 	 1.259671552 
7560.333333333333 	 4143 	 4.2 	 40.0 	 1.254510592 
7588.333333333333 	 2481 	 6.7 	 40.6 	 1.272455168 
7564.333333333333 	 6393 	 3.3 	 40.8 	 1.2783616 
7578.333333333333 	 3068 	 1.0 	 38.1 	 1.19513088 
7568.333333333333 	 4368 	 1.3 	 47.2 	 1.478938624 
7580.333333333333 	 40693 	 50.0 	 39.1 	 1.22568704 
7578.333333333333 	 6167 	 1.7 	 39.1 	 1.226092544 
7590.333333333333 	 4148 	 1.3 	 39.1 	 1.226498048 
7568.333333333333 	 4801 	 2.5 	 52.0 	 1.629663232 
7564.333333333333 	 92928 	 7.4 	 62.4 	 1.958346752 
7584.333333333333 	 2292 	 1.1 	 48.6 	 1.522827264 
7602.333333333333 	 6636 	 2.0 	 49.0 	 1.537523712 
7590.333333333333 	 6932 	 1.3 	 49.0 	 1.537757184 
7588.333333333333 	 1570 	 1.6 	 47.0 	 1.473155072 
7570.333333333333 	 4451 	 2.2 	 47.0 	 1.473216512 
7602.333333333333 	 5023 	 2.3 	 47.0 	 1.47314688 
7562.333333333333 	 4715 	 100.0 	 47.0 	 1.47314688 
7566.333333333333 	 13659 	 1.2 	 46.9 	 1.472151552 
7582.333333333333 	 3767 	 3.3 	 46.9 	 1.472294912 
7580.333333333333 	 112 	 1.6 	 52.0 	 1.629401088 
7564.333333333333 	 8342 	 1.4 	 52.4 	 1.642749952 
7582.333333333333 	 2762 	 5.5 	 57.0 	 1.788162048 
7570.333333333333 	 6867 	 2.2 	 57.0 	 1.788305408 
7584.333333333333 	 4440 	 0.7 	 56.8 	 1.781710848 
7474.166666666667 	 8169 	 1.1 	 56.9 	 1.784958976 
7473.166666666667 	 3746 	 0.4 	 58.9 	 1.847296 
7584.333333333333 	 3374 	 2.5 	 62.0 	 1.944576 
7584.333333333333 	 4970 	 1.0 	 58.8 	 1.845010432 
7562.333333333333 	 4913 	 0.8 	 57.4 	 1.798905856 
7562.333333333333 	 9453 	 2.1 	 63.7 	 1.996468224 
7582.333333333333 	 38 	 1.5 	 64.9 	 2.034118656 
7019.833333333333 	 4155 	 1.6 	 66.0 	 2.069991424 
7600.333333333333 	 1691 	 0.8 	 45.9 	 1.440268288 
7572.333333333333 	 4102 	 1.3 	 37.2 	 1.16537344 
6989.833333333333 	 35370 	 2.1 	 37.1 	 1.163321344 
7572.333333333333 	 7574 	 1.5 	 43.6 	 1.366884352 
7562.333333333333 	 7400 	 1.3 	 54.2 	 1.70098688 
7580.333333333333 	 6772 	 0.8 	 49.2 	 1.544179712 
7602.333333333333 	 6485 	 1.8 	 49.2 	 1.542549504 
7578.333333333333 	 24 	 2.4 	 51.7 	 1.62041856 
7580.333333333333 	 1534 	 4.0 	 51.6 	 1.619062784 
7560.333333333333 	 16522 	 1.1 	 48.2 	 1.51220224 
7574.333333333333 	 3945 	 0.8 	 42.1 	 1.321218048 
3930.6666666666665 	 6007 	 1.1 	 42.7 	 1.338028032 
3920.6666666666665 	 3618 	 0.7 	 42.7 	 1.338425344 
7584.333333333333 	 7251 	 2.0 	 42.7 	 1.338617856 
7604.333333333333 	 3006 	 0.5 	 43.9 	 1.376342016 
7556.333333333333 	 5712 	 2.3 	 61.1 	 1.915551744 
7580.333333333333 	 5077 	 0.9 	 56.2 	 1.762287616 
7580.333333333333 	 2904 	 1.4 	 61.6 	 1.932034048 
7592.333333333333 	 1923 	 1.1 	 53.2 	 1.66756352 
7588.333333333333 	 10446 	 1.2 	 59.4 	 1.863159808 
7570.333333333333 	 18896 	 0.5 	 53.3 	 1.670692864 
7588.333333333333 	 1516 	 4.9 	 62.7 	 1.966149632 
7606.333333333333 	 10145 	 2.4 	 57.6 	 1.804972032 
7572.333333333333 	 3574 	 7.5 	 48.7 	 1.528537088 
7562.333333333333 	 3470 	 9.5 	 50.7 	 1.591332864 
7562.333333333333 	 6619 	 2.5 	 49.8 	 1.560465408 
7586.333333333333 	 3374 	 5.0 	 53.0 	 1.663266816 
7003.833333333333 	 8968 	 2.4 	 27.6 	 0.865951744 
7470.166666666667 	 6456 	 0.5 	 45.9 	 1.438420992 
6902.666666666667 	 4624 	 0.7 	 45.8 	 1.435557888 
7572.333333333333 	 5179 	 0.2 	 51.3 	 1.607958528 
7584.333333333333 	 5487 	 7.8 	 59.7 	 1.870696448 
