txSize	resTime	storjTime	time_WO_Storj	cpuPerc	memoryPerc	memoryUsed
89367.5 	 7835 	 345 	 7490 	 1.2 	 44.3 	 1.390034944 
92750.83333333333 	 5840 	 220 	 5620 	 3.6 	 44.5 	 1.395744768 
89371.5 	 6838 	 183 	 6655 	 2.7 	 44.4 	 1.392676864 
89371.5 	 3856 	 194 	 3662 	 5.4 	 44.7 	 1.40312576 
89371.5 	 6019 	 203 	 5816 	 6.6 	 44.9 	 1.408724992 
89371.5 	 6842 	 391 	 6451 	 3.1 	 45.1 	 1.415401472 
92756.83333333333 	 7849 	 581 	 7268 	 4.5 	 45.0 	 1.412673536 
89371.5 	 5223 	 297 	 4926 	 1.9 	 45.2 	 1.418256384 
89371.5 	 4724 	 212 	 4512 	 5.8 	 45.7 	 1.433718784 
89371.5 	 7731 	 288 	 7443 	 6.8 	 45.4 	 1.423241216 
89371.5 	 6746 	 251 	 6495 	 3.4 	 45.5 	 1.426386944 
89367.5 	 5749 	 203 	 5546 	 5.7 	 45.6 	 1.429540864 
89371.5 	 6502 	 230 	 6272 	 3.7 	 45.8 	 1.437147136 
92750.83333333333 	 5574 	 363 	 5211 	 5.2 	 45.9 	 1.44019456 
92744.83333333333 	 5724 	 237 	 5487 	 4.6 	 46.3 	 1.45262592 
92756.83333333333 	 6730 	 324 	 6406 	 4.4 	 46.2 	 1.449316352 
89367.5 	 11315 	 591 	 10724 	 4.1 	 46.1 	 1.446268928 
92750.83333333333 	 8731 	 203 	 8528 	 4.7 	 46.6 	 1.460989952 
89371.5 	 6737 	 345 	 6392 	 6.2 	 46.9 	 1.470599168 
89371.5 	 3743 	 229 	 3514 	 14.4 	 47.5 	 1.488011264 
89367.5 	 4749 	 417 	 4332 	 6.2 	 47.2 	 1.479225344 
89371.5 	 7770 	 229 	 7541 	 4.7 	 46.7 	 1.464823808 
89371.5 	 9803 	 370 	 9433 	 4.7 	 46.5 	 1.45717248 
89367.5 	 5826 	 248 	 5578 	 6.7 	 47.0 	 1.474637824 
92744.83333333333 	 62 	 373 	 -311 	 6.4 	 47.5 	 1.489051648 
89371.5 	 1956 	 248 	 1708 	 6.7 	 47.5 	 1.488728064 
89371.5 	 1038 	 388 	 650 	 8.3 	 47.5 	 1.489186816 
89371.5 	 974 	 217 	 757 	 6.8 	 47.5 	 1.488904192 
89371.5 	 2977 	 199 	 2778 	 9.2 	 47.5 	 1.488584704 
92744.83333333333 	 2713 	 196 	 2517 	 4.1 	 47.5 	 1.489620992 
89367.5 	 7305 	 624 	 6681 	 0.7 	 47.5 	 1.489354752 
89367.5 	 1727 	 201 	 1526 	 2.8 	 47.5 	 1.489629184 
89367.5 	 5111 	 191 	 4920 	 4.5 	 47.5 	 1.490210816 
92756.83333333333 	 7147 	 383 	 6764 	 3.7 	 47.5 	 1.489772544 
92744.83333333333 	 6177 	 231 	 5946 	 4.4 	 47.5 	 1.490075648 
92744.83333333333 	 12663 	 865 	 11798 	 3.9 	 47.5 	 1.490153472 
89367.5 	 7661 	 214 	 7447 	 5.8 	 47.5 	 1.491103744 
92744.83333333333 	 8666 	 343 	 8323 	 5.4 	 47.5 	 1.490817024 
89371.5 	 11674 	 464 	 11210 	 4.0 	 47.5 	 1.490296832 
89371.5 	 9676 	 218 	 9458 	 5.6 	 47.5 	 1.490694144 
92750.83333333333 	 10731 	 214 	 10517 	 4.0 	 47.5 	 1.490432 
89367.5 	 13691 	 425 	 13266 	 8.1 	 47.6 	 1.491206144 
89371.5 	 11702 	 628 	 11074 	 6.1 	 47.6 	 1.493102592 
92744.83333333333 	 7721 	 631 	 7090 	 5.3 	 47.9 	 1.502449664 
89371.5 	 8736 	 236 	 8500 	 8.4 	 47.9 	 1.502273536 
89371.5 	 5741 	 340 	 5401 	 7.3 	 47.9 	 1.502715904 
89371.5 	 6742 	 276 	 6466 	 5.6 	 47.9 	 1.50257664 
89371.5 	 10747 	 559 	 10188 	 8.5 	 47.9 	 1.50171648 
92744.83333333333 	 12761 	 620 	 12141 	 5.1 	 47.6 	 1.491206144 
92750.83333333333 	 9774 	 199 	 9575 	 12.3 	 47.9 	 1.501990912 
92744.83333333333 	 6526 	 233 	 6293 	 5.6 	 47.9 	 1.502982144 
89371.5 	 5529 	 336 	 5193 	 5.8 	 47.9 	 1.503121408 
89367.5 	 7872 	 277 	 7595 	 9.0 	 47.9 	 1.502982144 
92756.83333333333 	 7399 	 399 	 7000 	 7.5 	 47.9 	 1.503338496 
89371.5 	 6430 	 520 	 5910 	 2.3 	 47.9 	 1.503199232 
92750.83333333333 	 5425 	 484 	 4941 	 4.4 	 47.9 	 1.503338496 
89367.5 	 5601 	 354 	 5247 	 5.6 	 47.9 	 1.503629312 
92750.83333333333 	 7622 	 629 	 6993 	 5.8 	 47.9 	 1.503346688 
89371.5 	 6636 	 491 	 6145 	 4.3 	 47.9 	 1.503358976 
89371.5 	 6567 	 242 	 6325 	 1.6 	 45.7 	 1.434558464 
92756.83333333333 	 4920 	 311 	 4609 	 3.4 	 45.8 	 1.43470592 
92756.83333333333 	 5920 	 311 	 5609 	 2.4 	 45.7 	 1.434558464 
89371.5 	 8178 	 391 	 7787 	 6.8 	 45.7 	 1.434537984 
89367.5 	 5302 	 193 	 5109 	 4.6 	 45.8 	 1.434873856 
89371.5 	 6339 	 220 	 6119 	 4.3 	 45.8 	 1.434857472 
92744.83333333333 	 7341 	 197 	 7144 	 4.4 	 45.8 	 1.43468544 
89371.5 	 6936 	 701 	 6235 	 5.8 	 45.8 	 1.434832896 
89371.5 	 4945 	 234 	 4711 	 4.9 	 45.8 	 1.434845184 
89371.5 	 6003 	 606 	 5397 	 3.6 	 45.8 	 1.434845184 
89367.5 	 11050 	 493 	 10557 	 3.5 	 45.8 	 1.434861568 
89367.5 	 10073 	 510 	 9563 	 4.0 	 45.8 	 1.434980352 
92750.83333333333 	 9118 	 458 	 8660 	 7.3 	 45.8 	 1.434886144 
89367.5 	 5471 	 230 	 5241 	 6.5 	 45.8 	 1.435230208 
92744.83333333333 	 7487 	 228 	 7259 	 4.5 	 45.8 	 1.434914816 
92744.83333333333 	 4490 	 539 	 3951 	 4.7 	 45.8 	 1.4352384 
92744.83333333333 	 6494 	 266 	 6228 	 4.6 	 45.8 	 1.434914816 
92744.83333333333 	 12085 	 316 	 11769 	 4.6 	 45.8 	 1.434898432 
92744.83333333333 	 13090 	 250 	 12840 	 3.4 	 45.8 	 1.434886144 
89371.5 	 315 	 535 	 -220 	 8.3 	 45.8 	 1.435496448 
89371.5 	 4327 	 275 	 4052 	 5.0 	 45.8 	 1.435398144 
92744.83333333333 	 3329 	 272 	 3057 	 6.5 	 45.8 	 1.43532032 
89371.5 	 2341 	 382 	 1959 	 5.7 	 45.8 	 1.43532032 
92750.83333333333 	 1381 	 239 	 1142 	 6.7 	 45.8 	 1.4353408 
89367.5 	 7143 	 401 	 6742 	 12.7 	 45.8 	 1.435353088 
89371.5 	 8602 	 366 	 8236 	 3.3 	 45.8 	 1.435226112 
89371.5 	 11626 	 285 	 11341 	 5.8 	 45.8 	 1.435140096 
89371.5 	 9623 	 233 	 9390 	 3.3 	 45.8 	 1.43521792 
89367.5 	 10670 	 258 	 10412 	 2.8 	 45.8 	 1.435201536 
89371.5 	 7670 	 426 	 7244 	 7.1 	 45.8 	 1.435373568 
92750.83333333333 	 8158 	 426 	 7732 	 2.2 	 45.8 	 1.435291648 
92744.83333333333 	 7154 	 285 	 6869 	 2.2 	 45.8 	 1.435267072 
92744.83333333333 	 6168 	 349 	 5819 	 2.8 	 45.8 	 1.435287552 
92744.83333333333 	 1371 	 248 	 1123 	 4.6 	 45.8 	 1.43519744 
89367.5 	 7984 	 586 	 7398 	 4.6 	 45.8 	 1.435291648 
92744.83333333333 	 2403 	 632 	 1771 	 3.8 	 45.8 	 1.435262976 
92744.83333333333 	 3410 	 260 	 3150 	 5.7 	 45.8 	 1.43527936 
