txSize	resTime	cpuPerc	memoryPerc	memoryUsed
1458.8333333333333 	 37649 	 0.4 	 37.6 	 1.179410432 
1458.8333333333333 	 40727 	 1.2 	 40.1 	 1.258504192 
1458.8333333333333 	 726 	 1.8 	 44.2 	 1.385971712
1458.8333333333333 	 4189 	 3.7 	 51.7 	 1.620574208 
1458.8333333333333 	 2936 	 4.2 	 37.0 	 1.159692288 
1458.8333333333333 	 3183 	 8.2 	 40.0 	 1.255018496 
1458.8333333333333 	 5185 	 2.1 	 40.0 	 1.253605376 
1458.8333333333333 	 711 	 10.5 	 40.2 	 1.259831296 
1458.8333333333333 	 3613 	 4.7 	 40.5 	 1.270902784 
1458.8333333333333 	 7507 	 3.3 	 40.7 	 1.276440576 
1458.8333333333333 	 13009 	 2.9 	 41.5 	 1.302818816 
1458.8333333333333 	 4103 	 2.0 	 38.1 	 1.194606592 
1458.8333333333333 	 5416 	 1.9 	 47.2 	 1.47861504 
