txSize	resTime	cpuPerc	memoryPerc	memoryUsed
7564.333333333333 	 43605 	 1.5 	 37.6 	 1.1794432 
7584.333333333333 	 41500 	 0.8 	 40.2 	 1.259184128 
7474.166666666667 	 6249 	 6.7 	 34.3 	 1.075355648 
7594.333333333333 	 3724 	 1.1 	 37.8 	 1.186103296 
7566.333333333333 	 317 	 1.1 	 44.2 	 1.386496 
7588.333333333333 	 3172 	 3.8 	 51.6 	 1.618776064 
7576.333333333333 	 1914 	 9.8 	 38.2 	 1.198804992 
7594.333333333333 	 405 	 10.3 	 40.4 	 1.267187712 
7568.333333333333 	 1049 	 8.1 	 40.2 	 1.259671552 
7560.333333333333 	 4143 	 4.2 	 40.0 	 1.254510592 
7588.333333333333 	 2481 	 6.7 	 40.6 	 1.272455168 
7564.333333333333 	 6393 	 3.3 	 40.8 	 1.2783616 
7578.333333333333 	 3068 	 1.0 	 38.1 	 1.19513088 
7568.333333333333 	 4368 	 1.3 	 47.2 	 1.478938624 
