txSize	cpuPerc	memoryPerc	memoryUsed
115.75	100.0	37.2	1.536065536
115.75	100.0	37.2	1.534717952
115.75	44.4	37.2	1.53401344
115.75	100.0	37.2	1.53552896
115.75	100.0	37.2	1.535852544
115.75	13.0	37.2	1.534046208
115.75	50.0	37.2	1.53552896
115.75	11.1	37.2	1.536167936
115.75	4.8	37.2	1.53460736
115.75	50.0	37.2	1.5356928
115.75	100.0	37.2	1.53450496
115.75	18.2	37.2	1.536180224
115.75	100.0	37.2	1.53552896
115.75	100.0	37.2	1.53401344
115.75	50.0	37.2	1.535348736
115.75	5.9	37.2	1.535852544
115.75	100.0	37.2	1.53602048
115.75	46.2	37.2	1.534767104
115.75	100.0	37.2	1.535188992
115.75	23.7	37.2	1.534357504
115.75	50.0	37.2	1.535852544
115.75	25.0	37.2	1.53470976
115.75	57.1	37.2	1.53458688
115.75	50.0	37.2	1.535348736
115.75	100.0	37.2	1.536180224
115.75	100.0	37.2	1.535913984
115.75	12.6	37.2	1.533853696
115.75	100.0	37.2	1.53434112
115.75	14.6	37.2	1.535188992
115.75	12.7	37.2	1.534038016
115.75	8.6	37.2	1.533952
115.75	100.0	37.2	1.535913984
115.75	100.0	37.2	1.536180224
115.75	19.6	37.2	1.53401344
115.75	100.0	37.2	1.535348736
115.75	50.0	37.2	1.533853696
115.75	66.7	37.2	1.535852544
115.75	50.0	37.2	1.535348736
115.75	22.2	37.2	1.534066688
115.75	8.0	37.2	1.536065536
115.75	16.4	37.2	1.533497344
115.75	50.0	37.2	1.53602048
115.75	100.0	37.2	1.533657088
115.75	7.7	37.2	1.536139264
115.75	36.0	37.2	1.535074304
115.75	22.2	37.2	1.534357504
115.75	31.6	37.2	1.535913984
115.75	10.1	37.2	1.533898752
115.75	50.0	37.2	1.536065536
115.75	10.6	37.2	1.534521344
115.75	33.3	37.2	1.534148608
115.75	100.0	37.2	1.536180224
115.75	7.1	37.2	1.5341568
115.75	100.0	37.2	1.533820928
115.75	11.4	37.2	1.53366528
115.75	33.3	37.2	1.535074304
115.75	100.0	37.2	1.53602048
115.75	8.1	37.2	1.533964288
115.75	60.0	37.2	1.535217664
115.75	50.0	37.2	1.53401344
115.75	100.0	37.2	1.53520128
115.75	100.0	37.2	1.535852544
115.75	33.3	37.2	1.534291968
115.75	10.2	37.0	1.525465088
115.75	100.0	37.1	1.531281408
115.75	100.0	37.2	1.53503744
115.75	33.3	38.9	1.602879488
115.75	22.5	38.8	1.601982464
115.75	18.3	38.9	1.60284672
115.75	4.8	38.8	1.601380352
115.75	100.0	38.9	1.605865472
115.75	100.0	38.9	1.605435392
115.75	100.0	38.9	1.60569344
115.75	100.0	38.9	1.605435392
115.75	100.0	38.9	1.605865472
115.75	6.2	39.0	1.607020544
115.75	83.3	38.9	1.603268608
115.75	66.7	38.9	1.603268608
115.75	36.8	38.8	1.601560576
115.75	100.0	38.9	1.605435392
115.75	27.9	38.9	1.603403776
115.75	100.0	38.9	1.605988352
115.75	50.0	38.9	1.605435392
115.75	14.5	38.8	1.602162688
115.75	8.5	38.8	1.601323008
115.75	100.0	38.9	1.605988352
115.75	25.0	38.8	1.601712128
115.75	100.0	38.9	1.605541888
115.75	66.7	38.8	1.602379776
115.75	100.0	38.9	1.602777088
115.75	100.0	38.9	1.605865472
115.75	66.7	38.9	1.60284672
115.75	12.5	38.8	1.602502656
115.75	100.0	38.9	1.606250496
115.75	15.7	38.8	1.602043904
115.75	50.0	38.9	1.60559104
115.75	100.0	38.9	1.60356352
115.75	15.4	38.8	1.60217088
115.75	100.0	38.9	1.603268608
115.75	50.0	38.9	1.605541888
115.75	20.0	38.8	1.600937984
115.75	50.0	38.9	1.603432448
115.75	100.0	38.9	1.603411968
115.75	100.0	38.9	1.606119424
115.75	100.0	38.8	1.601675264
115.75	100.0	38.9	1.605865472
115.75	27.5	38.8	1.599963136
115.75	50.0	38.9	1.602777088
115.75	28.0	38.8	1.600442368
115.75	100.0	38.9	1.60284672
115.75	100.0	38.9	1.60559104
115.75	75.0	38.9	1.603432448
115.75	80.0	38.9	1.605173248
115.75	50.0	38.9	1.606643712
115.75	100.0	38.9	1.606381568
115.75	33.3	38.9	1.60579584
115.75	30.0	38.8	1.599963136
115.75	100.0	38.9	1.605664768
115.75	13.8	38.8	1.601675264
115.75	33.3	38.8	1.600442368
115.75	100.0	38.9	1.602879488
115.75	21.7	38.9	1.602899968
115.75	100.0	38.9	1.606643712
115.75	50.0	38.9	1.605705728
115.75	11.1	38.9	1.603055616
115.75	75.0	38.9	1.604911104
115.75	100.0	38.9	1.605435392
115.75	100.0	38.9	1.604911104
115.75	6.8	38.8	1.601245184
115.75	40.0	38.8	1.602379776
115.75	13.6	38.9	1.60559104
115.75	36.4	38.9	1.603411968
115.75	13.5	38.9	1.602777088
115.75	27.3	38.8	1.60192512
115.75	100.0	38.9	1.605435392
115.75	100.0	38.9	1.605865472
