timeFrame	bandUsed
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
18	1.6558599999999999
19	0.7669919999999999
20	0.7669919999999999
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
18	1.6558599999999999
19	0.7669919999999999
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
18	1.6558599999999999
19	0.7669919999999999
20	0.7669919999999999
21	13.094678
1	0.933594
2	1.579497
3	6.946486
4	14.12113
5	16.56503
6	16.76424
7	11.08418
8	22.86644
9	21.09429
10	0.5542967
11	0.8953119999999999
12	1.185351
13	1.707423
14	1.642382
15	2.093554
16	1.86211
17	1.68164
18	1.6558599999999999
19	0.7669919999999999
1	0.933594
