timeFrame	cpuPerc	memoryPerc	memoryUsed
1	10.0	61.9	1.287548928
1	10.0	62.0	1.288052736
2	10.0	62.0	1.288220672
2	40.0	62.0	1.288527872
2	40.0	61.9	1.287397376
2	40.0	61.9	1.287036928
2	12.5	61.9	1.287385088
2	20.0	61.9	1.287766016
2	50.0	62.0	1.288400896
2	33.3	62.0	1.288527872
3	44.4	62.0	1.288527872
3	83.3	62.0	1.288892416
3	100.0	62.0	1.289019392
3	66.7	62.0	1.28940032
3	90.0	62.0	1.289654272
3	63.6	62.1	1.290752
3	40.0	62.1	1.290878976
4	88.9	63.0	1.310629888
4	80.0	64.2	1.335656448
4	63.6	65.5	1.362321408
4	100.0	67.4	1.401683968
4	100.0	69.3	1.440231424
4	100.0	71.0	1.475149824
4	80.0	72.1	1.499656192
4	54.5	72.9	1.51463936
4	88.9	74.6	1.55082752
4	50.0	75.5	1.569746944
5	72.7	77.0	1.599967232
5	100.0	79.1	1.64478976
5	100.0	81.4	1.691471872
5	100.0	81.7	1.698328576
5	100.0	81.8	1.701363712
5	100.0	82.0	1.70428416
5	100.0	82.1	1.707077632
5	100.0	82.3	1.710125056
5	100.0	82.4	1.712664576
5	100.0	82.5	1.715585024
6	90.9	82.7	1.71952128
6	77.8	82.9	1.723584512
6	100.0	83.4	1.732980736
6	90.9	83.9	1.743757312
6	88.9	84.5	1.757724672
6	100.0	85.1	1.769279488
6	100.0	85.9	1.785913344
6	90.0	86.5	1.797967872
6	91.7	86.6	1.801142272
6	100.0	86.8	1.804824576
7	100.0	86.8	1.80549632
7	100.0	86.8	1.805623296
7	81.8	86.8	1.805623296
7	100.0	86.9	1.805651968
7	100.0	86.9	1.805651968
7	50.0	86.9	1.805901824
7	50.0	86.9	1.805901824
7	100.0	86.9	1.8060288
7	100.0	86.9	1.80666368
7	100.0	86.9	1.807171584
8	100.0	86.9	1.807171584
8	100.0	86.9	1.807171584
8	100.0	87.0	1.808187392
8	100.0	87.3	1.8141184
8	100.0	87.5	1.819070464
8	100.0	87.7	1.824149504
8	100.0	88.0	1.828847616
8	100.0	88.2	1.83455744
8	100.0	88.7	1.845096448
8	80.0	89.1	1.85296896
9	100.0	89.6	1.86320896
9	100.0	90.2	1.874432
9	100.0	90.7	1.884839936
9	100.0	90.7	1.884913664
9	44.4	90.7	1.885425664
9	100.0	90.7	1.885888512
9	100.0	90.8	1.887240192
9	100.0	90.8	1.888002048
9	100.0	91.1	1.89333504
9	100.0	91.1	1.893842944
10	100.0	91.1	1.894305792
10	90.0	91.1	1.894592512
10	10.0	91.1	1.894592512
10	54.5	91.2	1.896669184
10	80.0	91.2	1.896669184
10	100.0	91.2	1.896763392
10	90.0	91.2	1.897017344
10	40.0	91.2	1.897050112
10	100.0	91.2	1.897050112
11	100.0	91.2	1.897050112
11	100.0	91.2	1.897050112
11	100.0	91.2	1.897050112
11	100.0	91.8	1.90793728
11	100.0	92.2	1.917362176
11	100.0	92.8	1.92944128
11	100.0	93.3	1.94029568
11	100.0	93.9	1.951883264
11	100.0	94.5	1.964027904
11	72.7	95.1	1.976991744
12	18.2	95.1	1.976991744
12	100.0	95.1	1.976991744
12	100.0	96.0	1.994903552
12	100.0	96.3	2.001620992
12	100.0	96.6	2.00892416
12	30.0	96.6	2.00843264
12	63.6	97.1	2.018889728
12	100.0	97.1	2.019397632
13	100.0	97.1	2.019651584
13	100.0	97.2	2.020139008
13	80.0	97.2	2.020265984
13	90.0	97.2	2.020380672
13	36.4	97.2	2.020380672
13	40.0	97.2	2.020380672
13	100.0	97.2	2.021142528
13	80.0	97.1	2.018082816
13	100.0	97.1	2.018209792
13	100.0	97.4	2.02463232
14	100.0	97.9	2.03501568
14	100.0	98.1	2.039087104
14	88.9	98.4	2.045546496
14	100.0	98.6	2.050387968
14	81.8	98.6	2.050318336
14	11.1	98.6	2.050445312
14	45.5	98.9	2.05637632
14	30.0	98.9	2.056351744
14	100.0	98.5	2.04808192
15	72.7	99.0	2.057764864
15	100.0	99.4	2.067562496
15	100.0	99.6	2.071375872
15	20.0	99.9	2.076377088
15	33.3	99.9	2.07757312
15	33.3	100.0	2.07814656
15	36.4	100.0	2.078830592
15	40.0	100.0	2.079035392
15	22.2	100.0	2.079035392
16	63.6	99.7	2.072440832
16	44.4	99.1	2.06118912
16	10.0	99.1	2.05989888
16	27.3	99.1	2.061242368
17	44.4	99.2	2.062045184
17	45.5	99.2	2.062884864
17	45.5	99.3	2.064801792
17	20.0	99.4	2.0661248
17	25.0	99.4	2.067456
17	50.0	97.8	2.033389568
17	33.3	98.0	2.03732992
17	50.0	98.3	2.04324864
17	90.9	98.9	2.055258112
17	91.7	98.7	2.051694592
18	87.5	98.8	2.05334528
18	45.5	98.8	2.053832704
18	44.4	98.8	2.053832704
18	22.2	98.8	2.05379584
18	27.3	98.8	2.054049792
18	81.8	99.1	2.060271616
18	66.7	99.3	2.064334848
18	54.5	98.6	2.0508672
18	54.5	98.7	2.052165632
19	88.9	99.0	2.057814016
19	90.0	98.7	2.052558848
19	90.0	98.8	2.054193152
19	83.3	98.9	2.055258112
19	55.6	99.1	2.059554816
19	11.1	98.2	2.041806848
19	10.0	98.1	2.0390912
19	10.0	98.0	2.038063104
19	27.3	98.0	2.038063104
20	10.0	98.0	2.038042624
20	11.1	98.0	2.037358592
20	30.0	98.0	2.03767808
20	20.0	98.0	2.037563392
20	10.0	98.0	2.037366784
20	18.2	98.0	2.036924416
20	10.0	97.9	2.036236288
20	20.0	97.9	2.035990528
21	11.1	97.9	2.03515904
21	11.1	97.9	2.034716672
21	33.3	97.9	2.03466752
21	90.9	98.0	2.036555776
21	75.0	98.5	2.048667648
21	72.7	99.3	2.065207296
