timeFrame	cpuPerc	memoryPerc	memoryUsed
0	10.0	15.5	0.321667072
1	10.0	15.5	0.321667072
1	11.1	15.5	0.321826816
1	10.0	15.5	0.321826816
1	20.0	15.5	0.321826816
1	10.0	15.5	0.321826816
2	18.2	15.5	0.321826816
2	11.1	15.5	0.321826816
2	20.0	15.5	0.321826816
2	9.1	15.5	0.321826816
2	25.0	15.5	0.322080768
2	33.3	15.5	0.32233472
2	11.1	15.5	0.322588672
2	20.0	15.5	0.322084864
3	11.1	15.5	0.322084864
3	10.0	15.5	0.322084864
3	10.0	15.5	0.322080768
3	11.1	15.5	0.322080768
3	11.1	15.5	0.322080768
3	20.0	15.5	0.32233472
3	20.0	15.5	0.322461696
4	10.0	15.5	0.322101248
4	16.7	15.5	0.322101248
4	11.1	15.5	0.322080768
4	11.1	15.5	0.322080768
4	10.0	15.5	0.322080768
4	10.0	15.5	0.322207744
4	27.3	15.5	0.322228224
5	11.1	15.5	0.322228224
5	10.0	15.5	0.322207744
5	9.1	15.5	0.322207744
5	10.0	15.5	0.322207744
5	30.0	15.5	0.322207744
5	20.0	15.5	0.322236416
5	27.3	15.5	0.322236416
5	10.0	15.5	0.322236416
6	27.3	15.5	0.322236416
6	9.1	15.5	0.322240512
6	10.0	15.5	0.322240512
6	25.0	15.5	0.322269184
6	11.1	15.5	0.322269184
6	10.0	15.5	0.322269184
7	25.0	15.5	0.322269184
7	10.0	15.5	0.322269184
7	10.0	15.5	0.322240512
7	10.0	15.5	0.322240512
7	10.0	15.5	0.322367488
7	27.3	15.5	0.322301952
8	27.3	15.5	0.322240512
8	9.1	15.5	0.322207744
8	11.1	15.5	0.322207744
8	10.0	15.5	0.32233472
8	27.3	15.5	0.322236416
8	10.0	15.5	0.322236416
9	20.0	15.5	0.322236416
9	11.1	15.5	0.322236416
9	20.0	15.5	0.322715648
9	10.0	15.5	0.322715648
9	11.1	15.5	0.322842624
9	20.0	15.6	0.323608576
10	20.0	15.6	0.323735552
10	10.0	15.6	0.323735552
10	10.0	15.6	0.323735552
10	20.0	15.6	0.323735552
10	18.2	15.6	0.323735552
10	10.0	15.6	0.323735552
11	18.2	15.6	0.323735552
11	18.2	15.6	0.323895296
11	11.1	15.6	0.32339968
11	10.0	15.6	0.32339968
11	11.1	15.6	0.32339968
12	18.2	15.6	0.32339968
12	18.2	15.6	0.32339968
12	9.1	15.6	0.323387392
12	11.1	15.6	0.323387392
12	18.2	15.5	0.322433024
12	11.1	15.5	0.322433024
13	33.3	15.5	0.322813952
13	10.0	15.5	0.322940928
13	10.0	15.5	0.322940928
13	10.0	15.5	0.322940928
13	12.5	15.5	0.323067904
13	20.0	15.6	0.323321856
13	22.2	15.6	0.323448832
13	11.1	15.6	0.323608576
14	11.1	15.6	0.323735552
14	18.2	15.6	0.323989504
14	20.0	15.6	0.32411648
14	18.2	15.6	0.323756032
14	20.0	15.6	0.324268032
14	11.1	15.6	0.323735552
15	11.1	15.6	0.323735552
15	18.2	15.6	0.323735552
15	9.1	15.6	0.323862528
15	11.1	15.5	0.32288768
15	10.0	15.5	0.32288768
16	25.0	15.5	0.32288768
16	10.0	15.5	0.322875392
16	10.0	15.5	0.322875392
16	10.0	15.5	0.322838528
16	10.0	15.5	0.322838528
16	20.0	15.5	0.322838528
17	10.0	15.5	0.322838528
17	10.0	15.5	0.32309248
17	10.0	15.5	0.32309248
17	18.2	15.5	0.323219456
17	11.1	15.6	0.323346432
17	20.0	15.6	0.323473408
17	25.0	15.6	0.323600384
18	10.0	15.6	0.323854336
18	10.0	15.6	0.323854336
18	25.0	15.6	0.323854336
18	20.0	15.6	0.323756032
18	20.0	15.6	0.323756032
19	18.2	15.6	0.323756032
