timeFrame	TimeOverhead
2	8920
2	9050
2	8995
2	8997
2	9110
2	9045
2	9076
2	8997
2	9103
2	9125
2	9156
2	9142
2	9098
2	9182
2	9766
2	9858
2	9629
2	9864
2	9874
3	9238
2	10142
2	9861
2	9974
2	10253
3	9302
2	10073
2	10085
3	9267
2	9986
2	9976
2	10108
3	9447
2	10095
2	10331
2	10226
3	9328
3	9508
2	10331
2	10148
2	10269
2	10239
3	9532
2	10344
3	9496
3	9478
3	9519
3	9612
2	10382
2	10250
3	9571
2	10210
2	10448
2	10373
2	10534
3	9636
3	9621
2	10619
3	9718
3	9775
2	10304
2	10530
3	9813
3	9801
2	10389
2	10623
2	10471
2	10553
2	10380
3	20727
3	22376
4	21703
3	22396
4	21557
3	22235
3	22259
3	22394
3	22491
3	22355
4	21595
3	22368
4	21690
3	22549
4	21661
3	22604
3	22532
3	22584
3	22465
3	22298
3	22343
3	22449
3	22385
4	21711
3	22405
4	21802
3	22375
3	22459
4	21813
3	22526
3	22608
3	22686
3	22687
4	21850
3	22645
4	21883
3	22404
3	22478
4	21806
3	22524
3	22625
4	21903
3	22560
4	21989
4	21978
3	22822
4	22073
4	22031
5	34975
4	35677
4	35775
5	34757
4	35829
5	34819
5	34964
5	35030
4	35837
4	35832
5	34854
4	35782
4	35615
4	35741
5	35027
4	35759
5	35011
4	35727
4	35674
5	34937
5	35123
4	35930
5	34952
4	35939
4	35803
4	35908
5	35242
4	36069
4	35911
4	35836
5	35119
5	35165
4	35847
5	35111
4	35825
5	35280
5	35133
5	35176
5	35099
5	35245
4	35870
4	36059
5	35079
5	35159
5	35344
4	35977
4	36163
4	35883
5	35217
4	36163
4	35874
5	35178
4	36219
4	36171
4	36111
5	35273
5	35387
4	36235
4	36035
5	35349
4	36112
4	36025
6	34634
5	35354
6	34350
6	34742
6	34725
5	35424
5	35356
6	34371
5	35360
6	34706
5	35548
6	34584
6	34859
7	33861
7	33874
6	34632
6	34587
6	34686
6	34579
5	35730
5	35670
6	34683
5	35643
5	35663
5	35726
5	35768
6	34761
5	35689
7	34004
6	34774
5	35642
6	34745
6	34856
7	34065
7	34077
6	34726
6	35059
6	35120
6	35022
5	35849
6	34701
6	34943
7	34065
6	34695
6	34715
6	34986
7	34038
6	35050
6	34889
7	34131
6	34871
5	35780
6	34901
6	34882
5	35690
6	34923
6	35107
6	35016
7	34037
6	34797
5	35674
6	34948
6	35152
6	35112
6	34961
6	34762
6	35097
5	35856
6	34887
6	34729
6	34799
6	34681
6	35043
6	34814
6	35138
5	35815
7	34170
6	34730
6	35030
7	34102
5	35892
5	35709
5	35830
7	37599
7	39758
8	39063
8	39064
9	38027
9	37887
9	37830
9	38101
8	38933
9	37791
9	38091
7	39904
7	39783
7	39879
9	37931
8	38771
7	39916
7	39990
7	40013
8	39008
7	39967
9	37926
9	38076
8	38981
8	38832
8	39117
8	38818
9	37919
9	38137
8	39244
7	39932
9	38262
9	38285
7	39872
9	38169
8	38801
8	39242
9	37979
8	39268
7	39946
7	39990
8	39238
7	39965
8	39071
9	38053
7	40199
8	38899
9	38155
8	39007
8	39162
7	40095
9	38342
7	40213
