timeFrame	TimeOverhead
5	6068
2	9127
7	4081
3	8078
6	5083
4	7084
8	5163
9	4172
11	4985
13	2999
12	4000
10	6001
14	5373
15	4379
17	5356
16	6358
18	4358
19	3359
21	4130
22	3135
20	5138
25	6332
24	7339
23	8342
26	8175
27	3600
29	1659
28	2663
30	666
32	6041
33	5341
31	7346
34	5708
35	6966
40	5490
39	6504
37	8614
36	9654
38	7417
42	8716
41	9720
44	6726
43	7730
47	4284
45	6287
46	5290
48	7706
50	5707
49	6711
51	4713
53	4270
52	5274
56	7531
54	9547
57	6554
55	8556
58	8252
59	3674
60	5696
61	4698
62	3702
66	32064
65	33076
64	34094
67	31096
69	29120
68	30125
63	35133
70	28162
80	22101
76	26109
71	31109
73	29123
77	25130
74	28140
72	30129
78	24143
79	23150
75	27151
83	21659
81	23666
82	22671
85	23778
84	24782
86	22819
88	20823
87	21827
90	18833
89	19834
91	14251
92	14972
96	10986
93	13994
95	12003
97	10004
94	13006
98	12221
100	10282
99	11288
102	11564
105	8576
106	7577
101	12579
108	5575
104	9582
103	10583
107	6605
109	7103
111	5110
110	6118
116	3075
114	5086
113	6093
112	7096
115	4102
118	4155
117	5159
121	7315
122	6324
120	8328
119	9332
123	4853
124	3858
125	5527
126	4532
127	3539
128	7773
130	5774
129	6780
131	5567
132	4575
133	3584
136	3222
134	5228
135	4234
137	5537
139	3540
138	4583
140	5739
142	3743
141	4751
144	4510
143	5519
145	3526
146	8438
147	7476
148	6480
151	3535
150	4540
149	5545
154	6745
153	7751
152	8757
157	2961
156	4002
155	8604
158	4950
159	3956
161	4599
162	3601
160	5603
163	5969
164	4977
165	3982
167	5199
166	6221
168	4224
170	4909
171	3916
169	5926
172	2928
173	7297
174	6303
175	5642
177	3649
176	4652
178	7644
180	5650
179	6653
183	3890
181	5899
182	4900
184	9088
186	7093
185	8095
188	4308
187	8889
189	3320
192	3337
190	5343
191	4346
193	7640
194	6646
195	5651
197	4299
196	5303
200	5638
198	7644
201	4650
199	6655
203	4300
202	5307
207	3637
204	6644
206	4651
205	5656
208	5296
209	4303
210	6538
212	4545
211	5552
213	3555
214	5297
215	4301
216	3307
219	6580
218	7598
217	8601
220	5632
221	4637
222	3639
225	3727
223	5734
224	4740
228	6127
226	8146
227	7150
230	4727
231	3735
229	5741
233	7635
234	6641
232	8646
237	3721
236	4725
235	5730
240	3403
238	5410
239	4413
242	4729
243	3733
241	5739
246	4626
245	5633
244	6640
247	8703
