timeFrame	bandUsed
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
16	1.519531
17	4.841993
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
16	1.519531
17	4.841993
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
16	1.519531
17	4.841993
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
16	1.519531
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
14	14.843
15	2.291401
16	1.519531
1	0.933594
2	1.5496109999999998
3	5.804495999999999
4	8.999996
5	11.59357
6	21.644769999999998
7	18.29591
8	21.01763
9	16.76578
10	5.421685
11	18.28831
12	15.23462
13	14.73985
