timeFrame	cpuPerc	memoryPerc	memoryUsed
1	9.3	14.3	0.297259008
2	9.4	14.3	0.297259008
3	6.6	14.3	0.297259008
4	7.4	14.3	0.297259008
5	6.5	14.3	0.297259008
6	6.5	14.3	0.297279488
7	8.5	14.3	0.297279488
8	5.3	14.3	0.297271296
9	5.3	14.3	0.297271296
10	5.3	14.3	0.297271296
11	7.5	14.3	0.297271296
12	8.4	14.3	0.297271296
13	6.2	14.3	0.297271296
14	3.2	14.3	0.297271296
15	9.2	14.3	0.297398272
16	3.3	14.3	0.297398272
17	4.3	14.3	0.297398272
18	4.3	14.3	0.297398272
19	6.2	14.3	0.297398272
20	5.3	14.3	0.297525248
21	5.4	14.3	0.297906176
22	3.2	14.3	0.297906176
23	3.2	14.3	0.297906176
24	5.4	14.3	0.297906176
25	6.5	14.3	0.297906176
26	4.3	14.3	0.297906176
27	5.4	14.3	0.297906176
28	3.3	14.3	0.297271296
29	4.3	14.3	0.297271296
30	3.3	14.3	0.297271296
31	4.1	14.3	0.297271296
32	7.4	14.3	0.297271296
33	7.3	14.3	0.297271296
34	7.4	14.3	0.297398272
35	5.3	14.3	0.297398272
36	5.4	14.3	0.297398272
37	6.4	14.3	0.297398272
38	4.4	14.3	0.297398272
39	5.3	14.3	0.297398272
40	8.4	14.3	0.29739008
41	4.3	14.3	0.29739008
42	4.4	14.3	0.29739008
43	3.3	14.3	0.29739008
44	4.4	14.3	0.29739008
45	6.4	14.3	0.29739008
46	7.4	14.3	0.29739008
47	4.4	14.3	0.29739008
48	5.4	14.3	0.29739008
49	5.4	14.3	0.29739008
50	6.4	14.3	0.29739008
51	7.4	14.3	0.297517056
52	4.3	14.3	0.297517056
53	5.5	14.3	0.297517056
54	4.3	14.3	0.297517056
55	5.4	14.3	0.297517056
56	6.4	14.3	0.297644032
57	6.2	14.3	0.297644032
58	6.4	14.3	0.297644032
59	5.4	14.3	0.297263104
60	6.4	14.3	0.29739008
61	6.5	14.3	0.29739008
62	4.3	14.3	0.29739008
63	5.4	14.3	0.29739008
64	4.3	14.3	0.29739008
65	6.4	14.3	0.29739008
