timeFrame	TimeOverhead
2	10923
2	11232
2	11224
3	10405
2	11124
2	11004
2	11024
2	10882
2	10995
2	11116
2	11187
3	10368
3	10398
2	11037
3	10388
2	11209
2	11336
2	11159
2	11089
2	11200
2	10946
2	10966
3	10481
2	10977
2	10918
2	11221
2	11399
2	11212
2	11409
2	11263
2	11092
2	11142
3	10465
2	10941
2	11305
2	11125
2	11437
2	11388
2	11058
2	11202
2	11082
2	11112
2	11164
2	11364
2	11073
2	11012
2	11003
2	11053
2	11377
2	11346
2	11248
2	11537
2	11499
3	10530
2	11478
2	11427
3	10497
2	11176
3	16259
3	16129
3	16220
4	15355
3	16048
3	16251
4	15284
3	15904
5	14260
4	14908
3	16125
4	15146
4	14989
5	14308
5	14346
4	15398
5	14250
4	14947
4	15298
4	15021
3	16037
5	14236
3	16179
4	15352
5	14459
5	14470
4	15343
3	16018
3	16191
3	16090
4	15033
3	16189
4	15390
5	14437
4	15297
5	14349
5	14464
4	15284
5	14337
4	15158
4	15181
4	15271
4	15225
5	14323
3	16353
3	16438
4	15216
3	16456
3	16296
3	16356
4	15387
3	16144
3	16296
5	14408
3	16437
4	15563
3	16204
5	14425
3	16294
3	16113
3	16132
3	16406
4	15555
4	15526
3	16195
3	16267
4	15183
3	16248
3	16219
3	16388
5	14401
5	14542
3	16532
3	16272
4	15443
4	15199
4	15434
3	16183
4	15230
4	15537
4	15172
4	15618
5	14589
4	15310
3	16191
4	15198
4	15444
4	15595
4	15271
4	15436
3	16437
5	14559
3	16288
4	15367
5	14551
4	15610
5	14522
4	15217
3	16493
4	15381
4	15452
5	14696
4	15566
3	16572
4	15360
4	15440
4	15431
5	14493
4	15523
4	15339
4	15657
3	16496
5	14699
3	16238
3	16571
5	14652
6	18976
6	18888
6	19022
6	19008
5	19788
6	18978
5	19693
6	19118
6	18944
6	18989
5	19812
6	18968
5	19862
5	19785
5	19900
6	18929
5	19721
5	19870
5	19785
6	19139
5	19892
6	19217
5	19791
5	19964
6	19152
5	19939
5	19752
5	19848
6	19113
5	19795
6	19080
