timeFrame	cpuPerc	memoryPerc	memoryUsed
1	4.2	64.5	1.340080128
2	8.3	64.5	1.340739584
3	18.8	64.5	1.341730816
4	14.4	64.5	1.34160384
5	25.5	64.6	1.343930368
6	21.4	64.7	1.34516736
7	14.3	64.7	1.345110016
8	14.6	65.9	1.37068544
9	19.2	67.6	1.405612032
10	18.4	69.4	1.443733504
11	36.1	71.5	1.48576256
12	100.0	73.5	1.528147968
13	18.6	73.5	1.52838144
14	18.4	73.5	1.528655872
15	20.4	73.9	1.53714688
16	24.0	76.0	1.580814336
17	46.9	80.7	1.67749632
18	24.5	83.7	1.739771904
19	18.9	86.8	1.805152256
20	22.9	90.5	1.881735168
21	41.4	93.1	1.936273408
22	93.0	94.3	1.959596032
23	63.6	95.2	1.978753024
24	17.5	95.2	1.978830848
26	17.3	95.2	1.978810368
27	37.0	95.2	1.979510784
28	17.3	95.2	1.979482112
29	18.8	95.3	1.980727296
30	44.4	95.6	1.987887104
31	15.5	95.6	1.988001792
32	26.5	95.6	1.988063232
33	15.6	95.7	1.988665344
34	14.6	95.7	1.99016448
35	99.0	95.8	1.992052736
36	33.3	96.1	1.9981312
37	20.4	96.1	1.998123008
38	21.6	96.1	1.998077952
39	15.5	96.1	1.998303232
40	21.6	96.1	1.998286848
41	19.4	96.1	1.998262272
42	26.3	96.1	1.99835648
43	20.8	96.1	1.998471168
44	18.7	96.2	1.999245312
45	20.6	96.2	2.0009984
46	92.9	96.7	2.010259456
47	90.0	96.6	2.009325568
48	31.6	96.6	2.009223168
49	25.8	96.7	2.009628672
50	18.4	96.7	2.009878528
51	18.8	96.7	2.009849856
52	37.0	96.7	2.01043968
53	16.0	96.7	2.0109312
54	15.6	96.7	2.010906624
55	100.0	96.8	2.012483584
56	58.8	96.8	2.012942336
57	32.7	96.9	2.013806592
58	28.1	96.9	2.014367744
59	14.3	96.9	2.014728192
60	9.3	96.9	2.01484288
61	19.6	96.9	2.014961664
62	20.6	96.9	2.015330304
63	19.2	96.9	2.015453184
64	17.0	97.0	2.015698944
65	39.0	97.0	2.016448512
66	24.0	97.0	2.017452032
67	13.5	97.0	2.01742336
68	13.5	97.0	2.017411072
69	100.0	97.1	2.01854976
70	40.4	97.0	2.015821824
71	35.4	96.7	2.011430912
72	19.8	96.5	2.005917696
73	15.6	96.2	1.999286272
74	14.6	95.8	1.99272448
75	18.6	95.5	1.98623232
76	18.4	95.3	1.980719104
77	24.7	95.1	1.97787648
78	37.8	94.9	1.97312512
79	15.5	94.6	1.966518272
80	23.7	94.1	1.956163584
81	15.5	93.8	1.949687808
82	20.0	93.5	1.943412736
83	24.2	93.4	1.94095104
84	17.5	93.4	1.94107392
85	98.0	93.4	1.941184512
86	48.0	93.4	1.94093056
87	37.9	93.4	1.940893696
88	14.6	93.4	1.941393408
89	25.5	93.4	1.94148352
90	17.7	93.4	1.941454848
91	18.4	93.4	1.941446656
92	32.0	93.4	1.94183168
93	15.5	93.4	1.942409216
94	17.5	93.4	1.942396928
95	42.3	93.9	1.951461376
96	100.0	94.1	1.95616768
97	46.5	94.2	1.957605376
98	14.6	94.2	1.957707776
99	14.4	94.2	1.957830656
100	9.5	94.2	1.957941248
101	22.2	94.2	1.958060032
102	30.0	94.2	1.958428672
103	29.9	94.2	1.958670336
104	13.7	94.2	1.958658048
105	15.5	94.2	1.958641664
106	15.6	94.2	1.958637568
107	29.6	94.2	1.958981632
108	15.5	94.2	1.959026688
109	19.4	94.3	1.959694336
110	17.7	94.3	1.959682048
111	100.0	94.3	1.959673856
112	76.8	94.6	1.96657152
113	15.5	94.6	1.966518272
114	17.3	94.6	1.966628864
115	32.0	94.6	1.966985216
116	18.4	94.6	1.967620096
117	31.6	94.7	1.968480256
118	15.5	94.7	1.968472064
119	16.5	94.7	1.969098752
120	17.5	94.7	1.969831936
121	16.8	94.8	1.971224576
122	100.0	96.1	1.99712768
123	70.4	97.1	2.017964032
124	18.6	97.1	2.018213888
125	43.9	97.1	2.019135488
126	13.5	97.1	2.019237888
127	7.3	97.1	2.019233792
128	22.2	97.1	2.019586048
129	32.0	97.2	2.020204544
130	22.7	97.2	2.020814848
131	14.7	97.2	2.020810752
132	16.7	97.2	2.020929536
133	13.5	97.2	2.021175296
134	14.6	97.2	2.021289984
135	12.6	97.2	2.021531648
