timeFrame	cpuPerc	memoryPerc	memoryUsed
0	10.0	15.5	0.32172032
0	10.0	15.5	0.32172032
0	10.0	15.5	0.321716224
0	11.1	15.5	0.321716224
0	11.1	15.5	0.321716224
1	20.0	15.5	0.321531904
1	20.0	15.5	0.32149504
1	10.0	15.5	0.32149504
2	30.0	15.5	0.32149504
2	18.2	15.5	0.32149504
2	11.1	15.5	0.32149504
2	11.1	15.5	0.32149504
2	9.1	15.5	0.32149504
3	10.0	15.5	0.32149504
3	20.0	15.5	0.321622016
3	11.1	15.5	0.321622016
3	9.1	15.5	0.321622016
3	10.0	15.5	0.321622016
3	10.0	15.5	0.321622016
4	11.1	15.5	0.321593344
4	9.1	15.5	0.32157696
4	10.0	15.5	0.32157696
5	10.0	15.5	0.32157696
5	10.0	15.5	0.32157696
5	9.1	15.5	0.321703936
5	10.0	15.5	0.321703936
5	9.1	15.5	0.321703936
6	10.0	15.5	0.321703936
6	10.0	15.5	0.321703936
6	9.1	15.5	0.321703936
7	20.0	15.5	0.321957888
7	9.1	15.5	0.321957888
8	10.0	15.5	0.322084864
8	91.7	15.5	0.321703936
8	25.0	15.5	0.321691648
8	10.0	15.5	0.321691648
8	10.0	15.5	0.321691648
9	9.1	15.5	0.321691648
9	10.0	15.5	0.321691648
9	9.1	15.5	0.321691648
10	10.0	15.5	0.321691648
10	27.3	15.5	0.321691648
11	18.2	15.5	0.321691648
11	20.0	15.5	0.3219456
11	10.0	15.5	0.3219456
11	9.1	15.5	0.3219456
11	10.0	15.5	0.3219456
12	11.1	15.5	0.3219456
12	27.3	15.5	0.321712128
12	10.0	15.5	0.321691648
12	9.1	15.5	0.321691648
12	10.0	15.5	0.321691648
13	10.0	15.5	0.321691648
13	9.1	15.5	0.321691648
14	11.1	15.5	0.321691648
14	10.0	15.5	0.321691648
14	10.0	15.5	0.321818624
15	10.0	15.5	0.321818624
15	18.2	15.5	0.3219456
15	9.1	15.5	0.322072576
15	10.0	15.5	0.322072576
15	9.1	15.5	0.322072576
16	18.2	15.5	0.32172032
16	10.0	15.5	0.321691648
16	9.1	15.5	0.321691648
17	9.1	15.5	0.321691648
17	10.0	15.5	0.321691648
18	9.1	15.5	0.321691648
18	9.1	15.5	0.321691648
19	18.2	15.5	0.321728512
19	10.0	15.5	0.321691648
19	10.0	15.5	0.321691648
19	10.0	15.5	0.321691648
20	10.0	15.5	0.321691648
20	18.2	15.5	0.321691648
20	10.0	15.5	0.321691648
20	9.1	15.5	0.321691648
20	11.1	15.5	0.321691648
20	9.1	15.5	0.321691648
20	10.0	15.5	0.321691648
20	9.1	15.5	0.321691648
21	11.1	15.5	0.321691648
21	10.0	15.5	0.321683456
21	10.0	15.5	0.321683456
21	9.1	15.5	0.321683456
21	10.0	15.5	0.321683456
22	20.0	15.5	0.321810432
22	18.2	15.5	0.321810432
22	9.1	15.5	0.321810432
22	18.2	15.5	0.321712128
23	9.1	15.5	0.321712128
23	12.5	15.5	0.321712128
23	9.1	15.5	0.321712128
23	9.1	15.5	0.321683456
24	20.0	15.5	0.321683456
24	10.0	15.5	0.321683456
24	9.1	15.5	0.321683456
24	9.1	15.5	0.321683456
25	11.1	15.5	0.321810432
25	9.1	15.5	0.321810432
25	10.0	15.5	0.321810432
25	16.7	15.5	0.321810432
25	9.1	15.5	0.321810432
26	11.1	15.5	0.321708032
26	10.0	15.5	0.321683456
26	9.1	15.5	0.321683456
27	18.2	15.5	0.321683456
27	9.1	15.5	0.321683456
27	10.0	15.5	0.321683456
27	9.1	15.5	0.321683456
28	10.0	15.5	0.321683456
28	10.0	15.5	0.321683456
29	10.0	15.5	0.321683456
29	10.0	15.5	0.321810432
30	18.2	15.5	0.321937408
30	10.0	15.5	0.321703936
30	9.1	15.5	0.321683456
31	20.0	15.5	0.321683456
31	10.0	15.5	0.321683456
31	10.0	15.5	0.321683456
31	9.1	15.5	0.321683456
32	10.0	15.5	0.321683456
32	9.1	15.5	0.321683456
32	9.1	15.5	0.321683456
33	11.1	15.5	0.321683456
33	9.1	15.5	0.321810432
33	10.0	15.5	0.321810432
33	9.1	15.5	0.321810432
