timeFrame	TimeOverhead
3	7755
2	8776
3	7744
3	7839
2	8797
4	6840
2	8749
3	7831
2	8790
3	7808
3	7822
3	7779
2	8735
2	8826
3	7813
4	6841
2	8787
3	7775
2	8777
2	8759
2	8860
3	7786
4	9320
4	9265
7	2729
5	8305
5	8295
7	2763
7	2773
4	9290
5	8369
6	7317
6	7369
5	8360
4	9336
5	8314
5	8376
6	7325
6	7376
7	2743
6	7307
7	2816
4	9331
7	2766
5	8371
4	9363
6	7390
7	2758
7	2788
5	8343
6	7370
5	8373
7	2738
6	7382
5	8322
6	7352
4	9316
6	7333
4	9367
9	3626
9	3609
8	4592
8	4714
8	4695
8	4645
8	4677
9	3634
9	3684
9	3716
9	3665
8	4708
9	3646
8	4658
9	3728
7	5648
9	3708
8	4748
8	4709
9	3718
8	4691
10	5542
12	3576
11	4539
10	5559
12	3596
11	4576
12	3566
12	3648
11	4629
12	3629
11	4600
12	3589
11	4641
10	5571
10	5653
11	4582
12	3653
10	5633
12	3582
11	4665
10	5614
10	5624
11	4636
12	3636
10	5672
11	4602
12	3581
10	5613
11	4634
10	5654
13	9616
15	7650
13	9661
15	7684
13	9646
13	9689
15	7643
13	9646
14	8646
13	9698
13	9720
13	9679
15	7650
15	7731
14	8746
15	7718
13	9749
15	7739
14	8658
15	7690
14	8730
15	7661
14	8720
15	7722
13	9671
14	8681
14	8712
14	8732
14	8702
14	8753
17	7535
17	7517
17	7611
16	8561
16	8606
16	8537
17	7615
16	8565
16	8627
16	8613
16	8544
17	7605
17	7556
17	7577
16	8621
17	7633
17	7614
17	7605
16	8614
16	8585
20	7592
21	6541
23	4544
22	5557
19	8539
20	7563
22	5629
21	6582
22	5585
18	9611
22	5572
19	8576
22	5559
23	4655
20	7617
19	8639
19	8658
23	4621
21	6673
18	9668
18	9636
21	6600
20	7682
19	8647
18	9686
20	7687
18	9650
23	4652
21	6640
22	5712
19	8703
22	5706
19	8697
23	4702
23	4727
23	4721
21	6722
21	6755
19	8708
18	9701
20	7724
20	7747
23	4771
21	6755
20	7700
21	6746
19	8718
22	5732
18	9723
21	6798
20	7741
22	5815
19	8828
18	9791
22	5795
20	7768
18	9844
18	9765
25	5801
26	4761
26	4746
26	4759
26	4815
27	3777
23	7761
25	5763
25	5784
27	3805
26	4844
25	5836
27	3786
27	3868
24	6780
24	6850
25	5831
24	6821
27	3753
26	4858
25	5840
24	6830
27	3862
26	4800
27	3783
25	5892
26	4841
25	5832
25	5812
24	6874
24	6824
24	6894
24	6835
26	4904
24	6865
27	3867
24	6905
26	4866
25	5877
23	7816
27	3810
27	3828
30	3338
28	5352
30	3323
30	3408
28	5413
29	4391
29	4413
30	3350
28	5393
29	4381
30	3331
28	5404
30	3424
29	4372
28	5355
30	3386
30	3416
29	4384
29	4426
30	3407
30	3403
28	5374
28	5434
29	4352
28	5355
28	5385
28	5405
29	4373
29	4414
29	4364
32	4749
33	3723
31	5725
33	3770
33	3751
31	5777
31	5717
33	3748
32	4738
32	4767
33	3799
33	3780
31	5760
31	5781
33	3742
31	5741
31	5730
32	4771
31	5812
33	3733
32	4822
32	4742
31	5784
31	5824
32	4734
33	3745
32	4755
32	4818
32	4809
33	3830
35	7912
36	6913
34	8976
36	6908
36	6942
36	6992
35	7938
35	7999
34	8928
34	8965
35	7957
35	7987
36	6977
34	8927
34	8967
36	6959
36	6979
35	8010
34	8959
34	8990
36	7011
35	7942
35	7990
35	8041
35	8001
34	9010
34	9042
36	7041
34	9031
36	7012
37	8836
37	8858
39	3235
39	3208
39	3230
38	7907
38	7837
37	8832
37	8868
37	8829
38	7882
39	3279
38	7904
38	7871
38	7882
37	8935
38	7842
38	7853
38	7924
39	3329
39	3319
37	8936
39	3355
39	3292
39	3311
37	8917
38	7916
37	8928
39	3266
37	8882
40	5126
40	5140
41	4156
40	5120
41	4082
41	4128
42	3128
40	5115
42	3175
41	4171
40	5189
41	4131
41	4145
41	4177
41	4130
40	5125
42	3201
40	5146
40	5193
40	5134
42	3197
41	4203
42	3220
41	4153
40	5198
42	10590
43	9625
43	9687
44	8670
44	8614
42	10644
42	10626
42	10608
44	8675
44	8710
44	8621
43	9680
44	8677
43	9636
44	8648
43	9647
42	10666
44	8678
43	9717
43	9637
43	9708
43	9687
44	8673
43	9683
44	8724
46	7157
45	8121
46	7131
46	7194
45	8199
47	6195
45	8132
47	6172
47	6217
45	8229
47	6132
45	8197
47	6240
47	6173
47	6170
46	7191
47	6214
45	8226
45	8195
45	8245
46	7268
46	7250
46	7182
45	8177
46	7247
47	6254
46	7236
47	6199
45	8234
46	7215
48	5935
50	3915
49	4989
49	4972
49	4963
48	5981
49	4963
48	5993
48	5933
50	4002
50	4010
48	5991
50	3961
48	6042
49	4962
48	6023
48	6034
49	4952
50	3989
48	5982
50	4061
49	5052
50	4051
49	5063
48	6003
49	4995
50	4013
50	4004
49	5035
50	4025
53	4288
52	5292
51	6266
53	4228
51	6233
53	4254
53	4287
51	6274
53	4304
51	6301
51	6243
52	5319
53	4259
51	6281
51	6347
53	4326
51	6359
52	5290
52	5299
52	5310
51	6371
51	6312
52	5363
52	5294
52	5344
52	5335
53	4375
52	5386
53	4315
53	4335
54	5969
56	3926
56	3960
56	3973
56	3955
57	3028
56	4029
54	6038
55	4968
54	5959
54	5970
56	4029
55	4981
54	5943
55	5003
54	5955
55	5035
55	5046
54	6053
56	4038
55	5068
56	4006
54	5988
56	4048
55	5038
57	3048
57	3068
54	6066
55	5080
57	3079
56	4071
55	5002
54	6003
55	5052
58	9632
57	10597
57	10610
58	9625
58	9687
59	8648
59	8641
59	8613
57	10656
59	8701
58	9621
57	10685
59	8676
58	9697
59	8652
59	8643
58	9665
59	8705
58	9700
59	8700
57	10661
59	8732
57	10671
58	9737
58	9658
58	9698
60	9496
61	8597
60	9580
60	9498
62	7537
62	7629
60	9527
61	8545
62	7580
62	7572
62	7616
61	8596
61	8652
61	8573
61	8597
61	8629
60	9639
61	8627
62	7658
61	8658
60	9660
60	9605
62	7595
61	8604
62	7656
62	7640
60	9650
60	9681
62	7631
60	9586
67	9604
64	12591
64	12607
65	11609
65	11642
63	13666
66	10659
67	9597
65	11603
64	12607
63	13649
65	11600
64	12648
68	8647
68	8606
68	8658
65	11686
64	12667
68	8645
66	10636
63	13659
67	9695
67	9657
68	8702
64	12631
68	8693
63	13654
66	10682
65	11725
68	8725
67	9660
67	9726
63	13657
67	9630
64	12728
63	13639
66	10669
64	12650
65	11702
68	8680
67	9657
63	13664
63	13694
63	13725
65	11715
66	10654
65	11685
67	9734
64	12742
65	11670
66	10730
64	12752
66	10712
66	10763
67	9718
66	10744
66	10683
63	13756
73	8783
73	8801
73	8797
71	10773
74	7845
72	9811
72	9848
69	16414
69	16447
74	7857
74	7822
69	16406
72	9847
74	7839
72	9822
71	14498
73	8818
71	14475
72	9820
72	9891
73	8810
71	10840
73	8847
72	9825
68	17449
70	15492
71	10869
71	14512
70	15473
72	9868
70	15494
71	10841
70	15468
73	8904
70	15459
72	9844
70	15550
68	17458
71	10898
69	16492
71	10860
69	16553
72	9930
73	8930
70	15515
69	16516
73	8859
70	15520
73	8876
70	15572
69	16553
71	14584
69	16504
70	15586
74	7963
69	16587
74	7973
69	16608
78	6752
75	9695
76	8751
79	5771
78	6743
77	7739
75	9743
77	7724
77	7718
80	4799
79	5780
77	7745
76	8740
77	7791
75	9793
77	7828
79	5776
75	9834
74	10764
80	4803
75	9820
77	7821
75	9772
77	7832
79	5777
79	5767
78	6769
76	8762
76	8803
76	8831
78	6798
76	8853
79	5820
78	6842
75	9854
74	10792
79	5860
77	7823
76	8804
75	9794
79	5872
76	8816
78	6883
76	8885
77	7845
75	9846
78	6875
79	5825
80	4896
76	8878
75	9848
80	4877
78	6826
74	10839
78	6856
78	6806
79	5809
74	10814
82	5525
82	5607
82	5550
84	3583
84	3555
80	7594
84	3556
81	6615
84	3624
83	4636
80	7562
83	4633
81	6600
83	4595
82	5636
83	4666
80	7621
84	3658
81	6610
83	4593
84	3625
82	5626
83	4651
84	3682
82	5592
80	7629
82	5664
80	7620
81	6619
83	4653
81	6660
82	5654
80	7620
81	6681
81	6692
82	5704
81	6660
84	3644
83	4654
82	5645
84	3614
81	6621
81	6713
83	4614
83	4638
84	3680
85	5397
87	3407
87	3431
86	4393
86	4466
85	5439
85	5473
85	5404
87	3468
85	5400
87	3489
85	5477
86	4497
86	4477
85	5469
85	5500
87	3457
86	4448
87	3440
86	4440
87	3420
87	3481
85	5462
87	3438
87	3508
86	4479
85	5459
86	4469
86	4430
86	4490
88	5522
89	4535
89	4558
89	4599
90	3550
89	4514
90	3575
90	3530
89	4601
88	5586
88	5617
90	3606
90	3532
89	4593
88	5575
88	5605
88	5536
88	5572
90	3633
88	5554
88	5595
89	4616
90	3616
89	4575
89	4565
90	3575
90	3606
88	5637
90	3586
89	4597
93	3435
93	3428
92	4410
92	4475
93	3427
93	3481
92	4430
92	4466
91	5498
93	3408
92	4425
92	4507
92	4415
93	3479
91	5470
91	5497
92	4477
93	3519
93	3440
91	5469
93	3450
91	5440
91	5496
91	5435
92	4474
93	3507
92	4507
91	5456
91	5517
91	5467
94	5516
94	5560
95	4546
95	4531
96	3546
96	3608
94	5579
95	4624
94	5586
96	3591
95	4580
94	5639
95	4652
96	3581
95	4632
94	5659
96	3623
95	4622
95	4672
95	4644
94	5569
94	5637
95	4620
94	5598
96	3651
96	3673
96	3623
96	3643
96	3684
94	5650
98	4415
98	4447
97	5470
99	3392
97	5400
98	4425
99	3455
97	5440
98	4402
99	3462
98	4494
99	3455
97	5496
97	5488
98	4449
99	3519
98	4439
99	3511
97	5490
98	4529
97	5460
98	4490
97	5511
99	3441
97	5442
97	5472
99	3467
98	4508
99	3518
99	3478
102	3478
100	5540
102	3503
102	3566
100	5558
102	3526
101	4549
102	3545
100	5602
101	4522
102	3524
100	5522
101	4603
100	5543
100	5563
100	5524
101	4525
101	4586
101	4552
101	4624
100	5563
102	3595
101	4565
101	4575
102	3606
102	3626
100	5590
102	3591
100	5621
101	4610
104	4278
103	5266
105	3275
104	4228
104	4262
105	3262
104	4245
103	5238
105	3248
104	4262
104	4285
103	5255
105	3326
105	3341
104	4324
103	5334
103	5305
105	3251
104	4357
105	3304
103	5337
104	4318
105	3285
104	4348
103	5329
103	5302
103	5364
105	3332
105	3343
103	5295
106	6674
107	5670
106	6623
106	6617
107	5629
106	6684
107	5617
107	5658
106	6720
106	6663
107	5724
107	5693
107	5700
106	6733
106	6684
106	6728
107	5777
106	6748
107	5747
107	5708
108	6531
108	6475
108	6467
108	6550
108	6513
108	6506
108	6500
108	6547
108	6580
108	6540
111	11661
111	11592
113	9685
114	8640
109	13618
109	13682
112	10632
112	10675
110	12608
112	10648
111	11681
111	11625
110	12668
113	9689
111	11651
109	13622
111	11646
112	10709
110	12643
109	13681
110	12698
113	9655
110	12721
112	10643
109	13735
109	13657
113	9687
113	9729
114	8686
114	8744
114	8711
112	10706
113	9716
109	13707
110	12709
113	9672
114	8738
110	12697
113	9734
112	10735
111	11745
113	9694
109	13757
114	8761
110	12779
109	13756
110	12729
111	11738
109	13727
112	10719
111	11764
114	8738
110	12785
114	8710
111	11795
112	10808
112	10728
113	9748
115	12594
114	13598
116	11681
117	10606
117	10648
118	9610
117	10603
115	12658
119	8672
116	11658
118	9679
116	11645
118	9653
115	12680
119	8645
119	8676
118	9629
119	8711
114	13625
116	11651
116	11692
115	12731
118	9692
119	8651
119	8675
118	9667
115	12664
116	11717
119	8691
117	10683
119	8746
115	12725
117	10719
119	8658
117	10704
115	12691
115	12704
115	12744
118	9757
115	12671
118	9756
116	11710
119	8746
117	10757
118	9723
118	9754
116	11680
117	10756
116	11690
116	11763
117	10776
117	10709
120	8922
120	8951
120	8995
120	8947
120	8918
120	8991
120	8987
120	8977
120	8940
120	9024
124	7508
122	9555
121	10602
124	7577
122	9599
122	9591
121	10544
121	10536
122	9550
124	7573
124	7606
121	10606
124	7562
122	9632
123	8566
121	10628
123	8639
122	9551
123	8635
123	8606
124	7607
121	10586
123	8632
123	8593
123	8624
122	9624
