N_requests	meanBandwidthCon	sdBandwidthCon	meanCPU	sdCPU	meanMemPerc	sdMemPerc	meanMem	sdMem
1	4.611648	2.186531	15.669737	34.921541	30.700000	0.000000	0.637641	0.000325
1	4.378699	3.127540	12.870659	32.312736	30.700000	0.000000	0.637721	0.000240
1	4.430552	2.799582	11.293678	30.320474	30.700000	0.000000	0.637663	0.000112
1	4.971571	2.867750	11.366234	30.352371	30.700000	0.000000	0.637631	0.000102
1	4.348094	3.109676	12.201183	31.422897	30.700000	0.000000	0.637759	0.000181
1	5.139913	2.946125	8.188068	26.073302	30.700000	0.000000	0.637825	0.000224
10	47.787633	38.659800	9.496569	28.278655	30.700000	0.000000	0.637762	0.000138
10	39.649755	27.481023	4.926506	20.075730	30.700000	0.000000	0.638152	0.000216
10	37.850942	23.234847	3.869461	17.062083	30.700000	0.000000	0.637959	0.000244
10	29.511720	23.782796	5.649010	21.668769	30.700000	0.000000	0.638498	0.000277
10	34.968264	28.574699	7.451562	25.068455	30.702083	0.014320	0.639056	0.000126
10	29.397370	28.497703	9.593750	27.783350	20.406818	0.025278	0.424792	0.000190
50	81.993515	40.913145	6.912808	22.704850	30.300000	5.919008	0.629828	0.123206
50	75.201326	52.033041	7.940909	24.245196	32.861364	0.772592	0.683102	0.016359
50	73.742591	34.644062	15.288312	34.537399	44.661039	5.323708	0.928431	0.110521
50	60.307948	34.224732	10.934302	29.702977	31.112209	0.032835	0.647061	0.000324
50	60.528040	46.256021	6.371658	22.454195	43.678610	0.041116	0.907744	0.000302
50	60.591987	46.558795	5.254938	18.994540	32.049383	1.944390	0.666073	0.040495
