N_requests	meanBandwidthCon	sdBandwidthCon	meanCPU	sdCPU	meanMemPerc	sdMemPerc	meanMem	sdMem
1	15.948997	13.725846	7.923204	24.957662	35.422099	0.323622	0.736329	0.006800
1	15.833238	17.228847	8.355122	26.186127	36.100000	0.000000	0.750728	0.000282
1	16.297323	13.254092	7.958564	25.006741	36.560773	0.316504	0.759924	0.006202
1	16.051288	15.071708	9.834896	28.308630	36.878125	0.041448	0.766357	0.000275
1	18.470853	16.652237	10.603279	28.935364	36.900000	0.000000	0.766476	0.000172
10	74.720206	49.529731	9.028261	26.793098	37.169565	0.195434	0.772351	0.004161
10	74.720206	49.529731	9.028261	26.793098	37.169565	0.195434	0.772351	0.004161
10	52.419083	31.379378	10.636923	28.662465	40.625128	0.570616	0.844827	0.012030
10	76.084960	67.189736	7.926136	24.470836	36.019886	0.282442	0.749166	0.005767
10	90.576718	54.189320	5.260894	19.065217	41.272067	1.031962	0.857895	0.021475
10	74.275045	46.446205	6.275000	22.049898	36.640341	0.811149	0.762076	0.016708
50	79.940368	46.056414	9.322652	26.324357	37.465193	0.329568	0.778601	0.007122
50	90.531265	53.253731	11.153977	29.237137	39.069318	0.292910	0.812076	0.006084
50	97.245015	51.814350	7.617919	23.719163	42.604624	0.044218	0.885629	0.001150
50	94.494027	52.511430	6.029545	20.359212	42.502273	0.737715	0.883755	0.015327
50	101.329724	48.874889	10.111494	27.950997	54.900000	0.000000	1.141667	0.000143
50	93.414780	50.251989	9.296591	26.763728	60.250000	0.078558	1.251985	0.001493
50	93.414780	50.251989	9.296591	26.763728	60.250000	0.078558	1.251985	0.001493
