N_requests	meanBandwidthCon	sdBandwidthCon	meanCPU	sdCPU	meanMemPerc	sdMemPerc	meanMem	sdMem
1	24.052753	16.636563	11.028689	29.619876	22.161885	4.286266	0.460774	0.088880
1	25.082156	17.329353	12.706438	31.662558	21.370386	0.045754	0.444163	0.000436
1	24.320145	17.644265	14.232864	33.031902	22.503286	0.650789	0.467970	0.013494
1	21.995877	17.628377	11.032389	29.528155	20.765587	0.413676	0.431794	0.008333
1	24.929063	16.787698	6.615000	22.742318	20.811000	0.418875	0.432529	0.009056
10	97.922478	69.786615	9.093467	24.340958	24.156784	1.345528	0.502264	0.027991
10	93.418673	74.148863	17.643304	35.525895	25.095089	0.397213	0.521748	0.008324
10	95.961596	69.624971	18.262140	36.070311	24.978601	1.173236	0.519250	0.024545
10	93.247233	65.915808	15.440092	32.992230	25.534562	0.223097	0.531351	0.004757
10	91.126336	60.833355	6.039574	18.936509	25.849362	0.231563	0.536964	0.005107
50	210.901001	321.356797	19.166916	37.395623	28.502994	1.408793	0.592360	0.029071
50	248.736095	335.544675	20.283333	38.063922	29.902355	1.262604	0.621701	0.026282
50	220.547099	276.274750	19.520477	37.180235	31.392843	0.991512	0.652509	0.020580
50	131.421291	154.391638	14.649686	32.642788	30.699528	1.357725	0.638022	0.028269
50	242.978039	377.542472	22.757614	40.449699	32.060911	0.606823	0.666407	0.012503
